Checked	Master	Accession	Description	Coverage	# Peptides	# PSMs	# Unique Peptides	# Protein Groups	# AAs	MW [kDa]	calc. pI	Modifications	Entrez Gene ID	Ensembl Gene ID	Gene ID	Chromosome	Biological Process	Cellular Component	Molecular Function	Pfam IDs	"Abundance Ratio: (127N, Ctrl) / (126, Ctrl)"	"Abundance Ratio: (127C, Ctrl) / (126, Ctrl)"	"Abundance Ratio: (128N, Ctrl) / (126, Ctrl)"	"Abundance Ratio: (128C, Ctrl) / (126, Ctrl)"	"Abundance Ratio: (129N, Ctrl) / (126, Ctrl)"	"Abundance Ratio: (129C, Ctrl) / (126, Ctrl)"	"Abundance Ratio: (130N, Ctrl) / (126, Ctrl)"	"Abundance Ratio: (130C, Ctrl) / (126, Ctrl)"	"Abundance Ratio: (131, Ctrl) / (126, Ctrl)"	"Abundance: F1: 126, Sample, Ctrl"	"Abundance: F1: 127N, Sample, Ctrl"	"Abundance: F1: 127C, Sample, Ctrl"	"Abundance: F1: 128N, Sample, Ctrl"	"Abundance: F1: 128C, Sample, Ctrl"	"Abundance: F1: 129N, Sample, Ctrl"	"Abundance: F1: 129C, Sample, Ctrl"	"Abundance: F1: 130N, Sample, Ctrl"	"Abundance: F1: 130C, Sample, Ctrl"	"Abundance: F1: 131, Sample, Ctrl"	"Abundances Count: F1: 126, Sample, Ctrl"	"Abundances Count: F1: 127N, Sample, Ctrl"	"Abundances Count: F1: 127C, Sample, Ctrl"	"Abundances Count: F1: 128N, Sample, Ctrl"	"Abundances Count: F1: 128C, Sample, Ctrl"	"Abundances Count: F1: 129N, Sample, Ctrl"	"Abundances Count: F1: 129C, Sample, Ctrl"	"Abundances Count: F1: 130N, Sample, Ctrl"	"Abundances Count: F1: 130C, Sample, Ctrl"	"Abundances Count: F1: 131, Sample, Ctrl"	emPAI	# Razor Peptides	Score Sequest HT	# Peptides Sequest HT	Score Mascot	# Peptides Mascot
FALSE	IsMasterProtein	P00338-3	Isoform 3 of L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA	55.12465374	22	718	16	1	361	39.812	8.43		3939	ENSG00000134333	LDHA	11	cell communication;metabolic process;regulation of biological process;response to stimulus	cytosol;membrane;mitochondrion;nucleus	catalytic activity;nucleotide binding;protein binding	"Pf00056, Pf02866"	0.943	1.001	0.914	0.783	0.623	0.529	0.339	0.185	0.097	78830.6	74304.2	78901.7	72053.4	61700.8	49131.5	41729.3	26749.4	14565.8	7661.9	40	40	40	40	40	40	40	40	40	40	46.706	13	1270.386747	22	6684.615867	16
FALSE	IsMasterProtein	P00352	Retinal dehydrogenase 1 OS=Homo sapiens GN=ALDH1A1 PE=1 SV=2	44.51097804	21	93	17	1	501	54.827	6.73		216	ENSG00000165092	ALDH1A1	9	metabolic process;regulation of biological process	cytoplasm;cytosol	catalytic activity;enzyme regulator activity	"Pf00171, Pf05893, Pf07368"	1.001	1.042	0.956	0.862	0.679	0.585	0.496	0.433	0.381	7313.2	7324	7621.7	6993.5	6307.5	4967.1	4281.3	3627.7	3166.6	2789	22	22	22	22	22	22	22	22	22	22	10.86	0	173.0965714	21	999.7284925	19
FALSE	IsMasterProtein	P00367	"Glutamate dehydrogenase 1, mitochondrial OS=Homo sapiens GN=GLUD1 PE=1 SV=2"	35.12544803	19	96	4	1	558	61.359	7.8		2746	ENSG00000148672	GLUD1	10	metabolic process;regulation of biological process	cytoplasm;mitochondrion;organelle lumen	catalytic activity;nucleotide binding;protein binding	"Pf00208, Pf02812"	0.941	1.007	0.89	0.768	0.504	0.252	0.089	0.061	0.052	15506.2	14594.2	15615.8	13796.5	11914.8	7820	3902.6	1378.1	940.6	804.4	22	22	22	22	22	22	22	22	22	22	4.275	17	196.2749799	19	1214.767133	18
FALSE	IsMasterProtein	P00374	Dihydrofolate reductase OS=Homo sapiens GN=DHFR PE=1 SV=2	43.85026738	8	22	8	1	187	21.439	7.42		1719; 573971	ENSG00000228716	DHFR; DHFRP1	5; 18	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	cytosol	catalytic activity;nucleotide binding;RNA binding	Pf00186	0.552	0.281	0.168	0.121	0.074	0.049	0.038	0.032	0.026	6658.4	3675.3	1870.9	1119.4	803.7	491.4	323.7	254.8	210.8	170.9	7	7	7	7	7	7	7	7	7	7	2.728	0	38.71334672	8	223.7713204	8
FALSE	IsMasterProtein	P00387-3	Isoform 3 of NADH-cytochrome b5 reductase 3 OS=Homo sapiens GN=CYB5R3	3.892215569	1	4	1	1	334	38.202	6.9		1727	ENSG00000100243	CYB5R3	22	metabolic process	cytoplasm;endoplasmic reticulum;membrane;mitochondrion	catalytic activity;nucleotide binding	"Pf00175, Pf00970, Pf08030"	0.926	0.891	0.771	0.551	0.278	0.17	0.131	0.11	0.091	664.1	614.7	592	511.8	366	184.4	112.7	87.1	73	60.6	1	1	1	1	1	1	1	1	1	1	0.122	0	9.057956696	1	129.5227037	1
FALSE	IsMasterProtein	P00390	"Glutathione reductase, mitochondrial OS=Homo sapiens GN=GSR PE=1 SV=2"	42.52873563	18	130	3	1	522	56.221	8.5		2936	ENSG00000104687	GSR	8	cellular homeostasis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;mitochondrion;organelle lumen	antioxidant activity;catalytic activity;nucleotide binding	"Pf00070, Pf02852, Pf07992, Pf13738"	1	1.054	0.956	0.861	0.686	0.613	0.481	0.279	0.099	12729.5	12728.2	13414.9	12175.5	10959.7	8730.6	7803.1	6128.8	3553.1	1255.5	25	25	25	25	25	25	25	25	25	25	10.721	19	253.0040483	18	1537.807596	16
FALSE	IsMasterProtein	P00390-5	"Isoform 4 of Glutathione reductase, mitochondrial OS=Homo sapiens GN=GSR"	41.36363636	16	111	1	1	440	47.237	8.75		2936	ENSG00000104687	GSR	8	cellular homeostasis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;organelle lumen	antioxidant activity;catalytic activity;nucleotide binding	"Pf00070, Pf02852, Pf07992, Pf13738"	0.974	1.071	0.933	0.905	0.752	0.673	0.503	0.234	0.101	507.3	494.3	543.4	473.4	459.1	381.4	341.6	255.1	118.5	51.4	1	1	1	1	1	1	1	1	1	1	8.12	0	208.0181975	16	1187.855043	14
FALSE	IsMasterProtein	P00441	Superoxide dismutase [Cu-Zn] OS=Homo sapiens GN=SOD1 PE=1 SV=2	75.32467532	13	188	13	1	154	15.926	6.13		6647	ENSG00000142168	SOD1	21	cell death;cell organization and biogenesis;cellular component movement;cellular homeostasis;coagulation;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;extracellular;membrane;mitochondrion;nucleus;organelle lumen;vacuole	antioxidant activity;catalytic activity;metal ion binding;protein binding	Pf00080	0.98	0.975	1.017	0.868	0.749	0.699	0.669	0.636	0.604	19620.5	19228.4	19131.8	19961.1	17026.8	14693.3	13712.2	13123.9	12479.6	11853.5	19	19	19	19	19	19	19	19	19	19	55.234	0	372.9943947	13	2353.406403	10
FALSE	IsMasterProtein	P00480	"Ornithine carbamoyltransferase, mitochondrial OS=Homo sapiens GN=OTC PE=1 SV=3"	2.259887006	1	12	1	1	354	39.91	8.63		5009	ENSG00000036473	OTC	X	cell organization and biogenesis;metabolic process;response to stimulus	cytoplasm;membrane;mitochondrion;organelle lumen	catalytic activity	"Pf00185, Pf02729"	0.902	0.91	0.755	0.75	0.713	0.536	0.205	0.073	0.044	1369.5	1234.8	1246.6	1033.4	1026.5	976.9	734.6	281.4	99.8	59.6	2	2	2	2	2	2	2	2	2	2	0.222	0	15.38820851	1	68.67	1
FALSE	IsMasterProtein	P00491	Purine nucleoside phosphorylase OS=Homo sapiens GN=PNP PE=1 SV=2	71.28027682	18	168	18	1	289	32.097	6.95	Acetyl [N-Term]	4860	ENSG00000198805	PNP	14	metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;cytosol;nucleus	catalytic activity	Pf01048	1.048	1.106	1.059	0.955	0.865	0.773	0.737	0.649	0.504	12395.1	12995.2	13714.6	13124	11833	10726.6	9578.8	9134.4	8042.9	6243	25	25	25	25	25	25	25	25	25	25	17.738	0	300.4323083	18	1515.549517	15
