Checked	Master	Accession	Description	Coverage	# Peptides	# PSMs	# Unique Peptides	# Protein Groups	# AAs	MW [kDa]	calc. pI	Modifications	Entrez Gene ID	Ensembl Gene ID	Gene ID	Chromosome	Biological Process	Cellular Component	Molecular Function	Pfam IDs	"Abundance Ratio: (127N, Treatmentrep1) / (126, Treatmentrep1)"	"Abundance Ratio: (127C, Treatmentrep1) / (126, Treatmentrep1)"	"Abundance Ratio: (128N, Treatmentrep1) / (126, Treatmentrep1)"	"Abundance Ratio: (128C, Treatmentrep1) / (126, Treatmentrep1)"	"Abundance Ratio: (129N, Treatmentrep1) / (126, Treatmentrep1)"	"Abundance Ratio: (129C, Treatmentrep1) / (126, Treatmentrep1)"	"Abundance Ratio: (130N, Treatmentrep1) / (126, Treatmentrep1)"	"Abundance Ratio: (130C, Treatmentrep1) / (126, Treatmentrep1)"	"Abundance Ratio: (131, Treatmentrep1) / (126, Treatmentrep1)"	"Abundance: F1: 126, Sample, Treatmentrep1"	"Abundance: F1: 127N, Sample, Treatmentrep1"	"Abundance: F1: 127C, Sample, Treatmentrep1"	"Abundance: F1: 128N, Sample, Treatmentrep1"	"Abundance: F1: 128C, Sample, Treatmentrep1"	"Abundance: F1: 129N, Sample, Treatmentrep1"	"Abundance: F1: 129C, Sample, Treatmentrep1"	"Abundance: F1: 130N, Sample, Treatmentrep1"	"Abundance: F1: 130C, Sample, Treatmentrep1"	"Abundance: F1: 131, Sample, Treatmentrep1"	"Abundances Count: F1: 126, Sample, Treatmentrep1"	"Abundances Count: F1: 127N, Sample, Treatmentrep1"	"Abundances Count: F1: 127C, Sample, Treatmentrep1"	"Abundances Count: F1: 128N, Sample, Treatmentrep1"	"Abundances Count: F1: 128C, Sample, Treatmentrep1"	"Abundances Count: F1: 129N, Sample, Treatmentrep1"	"Abundances Count: F1: 129C, Sample, Treatmentrep1"	"Abundances Count: F1: 130N, Sample, Treatmentrep1"	"Abundances Count: F1: 130C, Sample, Treatmentrep1"	"Abundances Count: F1: 131, Sample, Treatmentrep1"	emPAI	# Razor Peptides	Score Sequest HT	# Peptides Sequest HT	Score Mascot	# Peptides Mascot
FALSE	IsMasterProtein	P00338-3	Isoform 3 of L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA	59.00277008	22	610	15	1	361	39.812	8.43		3939	ENSG00000134333	LDHA	11	cell communication;metabolic process;regulation of biological process;response to stimulus	cytosol;membrane;mitochondrion;nucleus	catalytic activity;nucleotide binding;protein binding	"Pf00056, Pf02866"	0.977	1.113	0.928	0.877	0.763	0.733	0.447	0.22	0.095	66605.8	65098.8	74152.1	61801.2	58435.3	50806.9	48848.3	29805.4	14666.1	6354.2	37	37	37	37	37	37	37	37	37	37	46.706	12	1106.39808	22	5673.097529	17
FALSE	IsMasterProtein	P00352	Retinal dehydrogenase 1 OS=Homo sapiens GN=ALDH1A1 PE=1 SV=2	54.29141717	25	81	21	1	501	54.827	6.73		216	ENSG00000165092	ALDH1A1	9	metabolic process;regulation of biological process	cytoplasm;cytosol	catalytic activity;enzyme regulator activity	"Pf00171, Pf05893, Pf07368"	1.024	1.071	1.033	0.918	0.72	0.662	0.548	0.493	0.392	7641.3	7826.6	8186	7895.5	7017.4	5505.5	5056.3	4186.3	3763.8	2997	24	24	24	24	24	24	24	24	24	24	11.915	3	156.0840909	24	1123.431131	24
FALSE	IsMasterProtein	P00367	"Glutamate dehydrogenase 1, mitochondrial OS=Homo sapiens GN=GLUD1 PE=1 SV=2"	42.11469534	22	101	6	1	558	61.359	7.8		2746	ENSG00000148672	GLUD1	10	metabolic process;regulation of biological process	cytoplasm;mitochondrion;organelle lumen	catalytic activity;nucleotide binding;protein binding	"Pf00208, Pf02812"	0.988	1.12	0.894	0.511	0.194	0.101	0.062	0.049	0.045	18843.7	18609.4	21113.5	16837.4	9626.3	3664.5	1898.7	1164.2	916	850.8	25	25	25	25	25	25	25	25	25	25	5.391	19	202.022459	22	1280.651858	20
FALSE	IsMasterProtein	P00374	Dihydrofolate reductase OS=Homo sapiens GN=DHFR PE=1 SV=2	66.84491979	11	24	11	1	187	21.439	7.42		1719; 573971	ENSG00000228716	DHFR; DHFRP1	5; 18	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	cytosol	catalytic activity;nucleotide binding;RNA binding	Pf00186	0.642	0.339	0.201	0.13	0.096	0.068	0.042	0.037	0.026	4290.2	2754.4	1454.3	863.6	558.1	411.3	293.7	178.4	157.9	111.7	7	7	7	7	7	7	7	7	7	7	6.197	0	36.8731178	10	259.7957257	10
FALSE	IsMasterProtein	P00387-3	Isoform 3 of NADH-cytochrome b5 reductase 3 OS=Homo sapiens GN=CYB5R3	3.293413174	1	2	1	1	334	38.202	6.9		1727	ENSG00000100243	CYB5R3	22	metabolic process	cytoplasm;endoplasmic reticulum;membrane;mitochondrion	catalytic activity;nucleotide binding	"Pf00175, Pf00970, Pf08030"	0.942	0.881	0.693	0.464	0.171	0.072	0.041	0.036	0.027	744.6	701.1	656.3	516.2	345.7	127.6	53.8	30.6	27	19.9	1	1	1	1	1	1	1	1	1	1	0.122	0	4.0641222	1	56.45	1
FALSE	IsMasterProtein	P00390	"Glutathione reductase, mitochondrial OS=Homo sapiens GN=GSR PE=1 SV=2"	39.27203065	19	106	3	1	522	56.221	8.5		2936	ENSG00000104687	GSR	8	cellular homeostasis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;mitochondrion;organelle lumen	antioxidant activity;catalytic activity;nucleotide binding	"Pf00070, Pf02852, Pf07992, Pf13738"	0.984	1.036	0.963	0.853	0.68	0.655	0.492	0.27	0.089	10005.6	9847.4	10363.3	9637.2	8536.4	6801.9	6554.1	4927.4	2702.5	889.2	24	24	24	24	24	24	24	24	24	24	6.88	18	191.875309	19	1122.167452	17
FALSE	IsMasterProtein	P00390-5	"Isoform 4 of Glutathione reductase, mitochondrial OS=Homo sapiens GN=GSR"	37.5	17	88	1	1	440	47.237	8.75		2936	ENSG00000104687	GSR	8	cellular homeostasis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;organelle lumen	antioxidant activity;catalytic activity;nucleotide binding	"Pf00070, Pf02852, Pf07992, Pf13738"	0.977	0.954	0.978	0.875	0.729	0.734	0.566	0.387	0.136	138.6	135.4	132.2	135.5	121.3	101	101.7	78.4	53.7	18.9	1	1	1	1	1	1	1	1	1	1	5.918	0	153.2458179	17	844.3652222	15
FALSE	IsMasterProtein	P00403	Cytochrome c oxidase subunit 2 OS=Homo sapiens GN=MT-CO2 PE=1 SV=1	4.405286344	1	2	1	1	227	25.548	4.82		4513	ENSG00000198712	COX2	MT	metabolic process;transport	membrane;mitochondrion	catalytic activity;metal ion binding;transporter activity	"Pf00116, Pf02790"																														0.292	0	3.068426132	1	31.12	1
FALSE	IsMasterProtein	P00441	Superoxide dismutase [Cu-Zn] OS=Homo sapiens GN=SOD1 PE=1 SV=2	75.32467532	14	167	14	1	154	15.926	6.13		6647	ENSG00000142168	SOD1	21	cell death;cell organization and biogenesis;cellular component movement;cellular homeostasis;coagulation;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;extracellular;membrane;mitochondrion;nucleus;organelle lumen;vacuole	antioxidant activity;catalytic activity;metal ion binding;protein binding	Pf00080	1.048	1.116	1.123	0.958	0.923	0.908	0.927	0.842	0.884	15247.7	15976.9	17019.3	17121.6	14610.7	14071.2	13847	14134.4	12839.4	13481.3	18	18	18	18	18	18	18	18	18	18	67.129	0	314.9862589	14	1844.374284	10
FALSE	IsMasterProtein	P00480	"Ornithine carbamoyltransferase, mitochondrial OS=Homo sapiens GN=OTC PE=1 SV=3"	2.259887006	1	6	1	1	354	39.91	8.63		5009	ENSG00000036473	OTC	X	cell organization and biogenesis;metabolic process;response to stimulus	cytoplasm;membrane;mitochondrion;organelle lumen	catalytic activity	"Pf00185, Pf02729"	0.325	0.438	0.252	0.284	0.072	0.082	0.01	0.01	0.01	117.1	38	51.3	29.5	33.3	8.4	9.6	1	1	1	1	1	1	1	1	1	1	1	1	1	0.222	0	7.970994115	1	52.62	1
FALSE	IsMasterProtein	P00491	Purine nucleoside phosphorylase OS=Homo sapiens GN=PNP PE=1 SV=2	73.01038062	18	149	18	1	289	32.097	6.95	Acetyl [N-Term]	4860	ENSG00000198805	PNP	14	metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytoskeleton;cytosol;nucleus	catalytic activity	Pf01048	1.024	1.072	1.021	0.927	0.81	0.788	0.697	0.631	0.46	13121.9	13436.7	14063.3	13400	12167	10626.4	10343.6	9140.3	8283.7	6033.6	25	25	25	25	25	25	25	25	25	25	22.101	0	273.528354	18	1605.94	16
FALSE	IsMasterProtein	P00492	Hypoxanthine-guanine phosphoribosyltransferase OS=Homo sapiens GN=HPRT1 PE=1 SV=2	72.93577982	12	79	11	1	218	24.564	6.68		3251	ENSG00000165704	HPRT1	X	cell differentiation;cell organization and biogenesis;cell proliferation;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol	catalytic activity;metal ion binding;nucleotide binding;protein binding	"Pf00156, Pf15610"	0.967	1.066	0.994	0.911	0.707	0.74	0.661	0.645	0.587	5471.9	5289.7	5834.6	5438.6	4982.5	3868.2	4049.8	3616.1	3528.6	3211.8	15	15	15	15	15	15	15	15	15	15	19.309	1	154.3393216	12	1000.66715	11
FALSE	IsMasterProtein	P00505	"Aspartate aminotransferase, mitochondrial OS=Homo sapiens GN=GOT2 PE=1 SV=3"	52.55813953	24	124	24	1	430	47.487	9.01		2806	ENSG00000125166	GOT2	16	metabolic process;response to stimulus;transport	cell surface;membrane;mitochondrion;organelle lumen	catalytic activity;protein binding;RNA binding	Pf00155	0.945	1.032	1.028	0.882	0.81	0.696	0.721	0.653	0.676	12937.1	12227.1	13350	13300.8	11413.8	10480	9008.3	9322.5	8453.3	8739.7	31	31	31	31	31	31	31	31	31	31	13.874	0	237.5751987	24	1380.598837	21
FALSE	IsMasterProtein	P00519-2	Isoform IB of Tyrosine-protein kinase ABL1 OS=Homo sapiens GN=ABL1	13.14186249	12	27	12	1	1149	124.877	8.84		25	ENSG00000097007	ABL1	9	cell differentiation;cell organization and biogenesis;cellular component movement;cellular homeostasis;coagulation;defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytoskeleton;cytosol;membrane;mitochondrion;nucleus	catalytic activity;DNA binding;metal ion binding;nucleotide binding;protein binding	"Pf00017, Pf00018, Pf00069, Pf07653, Pf07714, Pf08919, Pf14604"	0.857	0.684	0.524	0.347	0.247	0.162	0.125	0.12	0.092	3995.5	3424.4	2733	2093	1386.4	986.9	646.3	499.3	481.1	369.2	8	8	8	8	8	8	8	8	8	8	0.492	0	54.48448896	12	293.3772575	11
FALSE	IsMasterProtein	P00558	Phosphoglycerate kinase 1 OS=Homo sapiens GN=PGK1 PE=1 SV=3	73.14148681	27	604	21	1	417	44.586	8.1		5230	ENSG00000102144	PGK1	X	cell differentiation;metabolic process	cytoplasm;cytosol;membrane	catalytic activity;nucleotide binding;protein binding	Pf00162	0.991	1.1	0.992	0.912	0.498	0.14	0.082	0.052	0.042	68724.6	68093.1	75627.8	68202.1	62698.1	34226	9643.1	5636.1	3567.8	2852.3	49	49	49	49	49	49	49	49	49	49	99	10	1178.445893	27	7055.213935	23
