"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Modifications"	"Abundance Ratio: (127N, Quinine57) / (126, Quinine57)"	"Abundance Ratio: (127C, Quinine57) / (126, Quinine57)"	"Abundance Ratio: (128N, Quinine57) / (126, Quinine57)"	"Abundance Ratio: (128C, Quinine57) / (126, Quinine57)"	"Abundance Ratio: (129N, Quinine57) / (126, Quinine57)"	"Abundance Ratio: (129C, Quinine57) / (126, Quinine57)"	"Abundance Ratio: (130N, Quinine57) / (126, Quinine57)"	"Abundance Ratio: (130C, Quinine57) / (126, Quinine57)"	"Abundance Ratio: (131, Quinine57) / (126, Quinine57)"	"Abundance: F2: 126, Sample, Quinine57"	"Abundance: F2: 127N, Sample, Quinine57"	"Abundance: F2: 127C, Sample, Quinine57"	"Abundance: F2: 128N, Sample, Quinine57"	"Abundance: F2: 128C, Sample, Quinine57"	"Abundance: F2: 129N, Sample, Quinine57"	"Abundance: F2: 129C, Sample, Quinine57"	"Abundance: F2: 130N, Sample, Quinine57"	"Abundance: F2: 130C, Sample, Quinine57"	"Abundance: F2: 131, Sample, Quinine57"	"Abundances Count: F2: 126, Sample, Quinine57"	"Abundances Count: F2: 127N, Sample, Quinine57"	"Abundances Count: F2: 127C, Sample, Quinine57"	"Abundances Count: F2: 128N, Sample, Quinine57"	"Abundances Count: F2: 128C, Sample, Quinine57"	"Abundances Count: F2: 129N, Sample, Quinine57"	"Abundances Count: F2: 129C, Sample, Quinine57"	"Abundances Count: F2: 130N, Sample, Quinine57"	"Abundances Count: F2: 130C, Sample, Quinine57"	"Abundances Count: F2: 131, Sample, Quinine57"	"emPAI"	"# Razor Peptides"	"Score Mascot"	"# Peptides Mascot"
"False"	"IsMasterProtein"	"PF3D7_1015900"	"organism=Plasmodium_falciparum_3D7 | product=enolase (ENO) | location=Pf3D7_10_v3:637138-639011(+) | length=446 | sequence_SO=chromosome | SO=protein_coding"	"79.8206278026906"	"34"	"1008"	"32"	"1"	"446"	"48.647"	"6.6"	""	"1.037"	"1.378"	"1.362"	"1.365"	"1.341"	"1.373"	"1.320"	"1.002"	"1.132"	"63168.5"	"65475.2"	"87039.5"	"86066.9"	"86240.5"	"84708.2"	"86757.1"	"83407.5"	"63283.3"	"71494.8"	"82"	"82"	"82"	"82"	"82"	"82"	"82"	"82"	"82"	"82"	"184783.98"	"3"	"22447.4851763795"	"34"
"False"	"IsMasterProtein"	"PF3D7_1462800"	"organism=Plasmodium_falciparum_3D7 | product=glyceraldehyde-3-phosphate dehydrogenase (GAPDH) | location=Pf3D7_14_v3:2559098-2560347(+) | length=337 | sequence_SO=chromosome | SO=protein_coding"	"89.9109792284866"	"31"	"807"	"30"	"1"	"337"	"36.612"	"7.69"	""	"0.840"	"1.064"	"1.098"	"1.069"	"1.192"	"1.254"	"1.218"	"0.805"	"0.916"	"54733.8"	"45973.0"	"58219.3"	"60071.3"	"58532.5"	"65244.4"	"68628.4"	"66690.0"	"44038.3"	"50131.2"	"64"	"64"	"64"	"64"	"64"	"64"	"64"	"64"	"64"	"64"	"136886.451"	"2"	"17536.4874555217"	"31"
"False"	"IsMasterProtein"	"PF3D7_1311800"	"organism=Plasmodium_falciparum_3D7 | product=M1-family alanyl aminopeptidase (M1AAP) | location=Pf3D7_13_v3:501790-505047(+) | length=1085 | sequence_SO=chromosome | SO=protein_coding"	"72.8110599078341"	"73"	"781"	"73"	"1"	"1085"	"125.983"	"7.56"	""	"1.032"	"1.347"	"1.299"	"1.262"	"1.298"	"1.289"	"1.194"	"0.935"	"1.078"	"45680.3"	"47136.6"	"61522.7"	"59324.8"	"57637.0"	"59298.6"	"58892.1"	"54545.3"	"42695.4"	"49228.8"	"168"	"168"	"168"	"168"	"168"	"168"	"168"	"168"	"168"	"168"	"4995.089"	"0"	"13939.8222826854"	"73"
"False"	"IsMasterProtein"	"PF3D7_1029600"	"organism=Plasmodium_falciparum_3D7 | product=adenosine deaminase (ADA) | location=Pf3D7_10_v3:1206302-1207405(+) | length=367 | sequence_SO=chromosome | SO=protein_coding"	"70.299727520436"	"24"	"596"	"24"	"1"	"367"	"42.438"	"5.69"	""	"1.065"	"1.381"	"1.401"	"1.384"	"1.344"	"1.388"	"1.306"	"1.037"	"1.122"	"48438.0"	"51596.4"	"66895.3"	"67846.3"	"67020.8"	"65095.9"	"67219.1"	"63242.8"	"50243.2"	"54353.7"	"48"	"48"	"48"	"48"	"48"	"48"	"48"	"48"	"48"	"48"	"6811.921"	"0"	"10882.5221501422"	"24"
"False"	"IsMasterProtein"	"PF3D7_1149000"	"organism=Plasmodium_falciparum_3D7 | product=antigen 332, DBL-like protein (Pf332) | location=Pf3D7_11_v3:1950210-1968726(+) | length=6093 | sequence_SO=chromosome | SO=protein_coding"	"37.7154111275234"	"165"	"393"	"165"	"1"	"6093"	"688.87"	"3.89"	""	"0.984"	"1.303"	"1.268"	"1.289"	"1.236"	"1.301"	"1.213"	"0.911"	"1.059"	"23939.0"	"23560.8"	"31184.5"	"30359.4"	"30846.4"	"29581.3"	"31155.9"	"29027.8"	"21819.0"	"25344.0"	"207"	"207"	"207"	"207"	"207"	"207"	"207"	"207"	"207"	"207"	"10.961"	"0"	"9466.00724025172"	"165"
"False"	"IsMasterProtein"	"PF3D7_0511800"	"organism=Plasmodium_falciparum_3D7 | product=inositol-3-phosphate synthase (INO1) | location=Pf3D7_05_v3:520720-522693(-) | length=604 | sequence_SO=chromosome | SO=protein_coding"	"59.271523178808"	"40"	"428"	"40"	"1"	"604"	"69.069"	"7.4"	""	"1.016"	"1.324"	"1.296"	"1.290"	"1.292"	"1.331"	"1.277"	"0.945"	"1.077"	"32716.3"	"33247.8"	"43328.7"	"42384.0"	"42215.2"	"42274.3"	"43531.3"	"41767.9"	"30905.5"	"35246.2"	"88"	"88"	"88"	"88"	"88"	"88"	"88"	"88"	"88"	"88"	"4280.332"	"0"	"7298.72858953467"	"40"
"False"	"IsMasterProtein"	"PF3D7_1454400"	"organism=Plasmodium_falciparum_3D7 | product=aminopeptidase P (APP) | location=Pf3D7_14_v3:2234143-2236476(+) | length=777 | sequence_SO=chromosome | SO=protein_coding"	"58.1724581724582"	"41"	"409"	"41"	"1"	"777"	"90.073"	"6.81"	""	"1.056"	"1.440"	"1.357"	"1.312"	"1.338"	"1.398"	"1.327"	"1.004"	"1.157"	"25445.8"	"26867.9"	"36631.8"	"34526.6"	"33376.1"	"34041.3"	"35576.1"	"33759.7"	"25551.7"	"29428.2"	"86"	"86"	"86"	"86"	"86"	"86"	"86"	"86"	"86"	"86"	"659.693"	"0"	"7237.90798662631"	"41"
"False"	"IsMasterProtein"	"PF3D7_0513300"	"organism=Plasmodium_falciparum_3D7 | product=purine nucleoside phosphorylase (PNP) | location=Pf3D7_05_v3:569182-569919(-) | length=245 | sequence_SO=chromosome | SO=protein_coding"	"86.530612244898"	"17"	"292"	"17"	"1"	"245"	"26.841"	"6.52"	""	"1.066"	"1.366"	"1.336"	"1.390"	"1.455"	"1.564"	"1.575"	"1.206"	"1.373"	"11391.6"	"12144.5"	"15563.7"	"15221.0"	"15830.2"	"16579.6"	"17820.4"	"17938.7"	"13742.4"	"15645.7"	"40"	"40"	"40"	"40"	"40"	"40"	"40"	"40"	"40"	"40"	"138948.549"	"0"	"7212.33114191064"	"17"
"False"	"IsMasterProtein"	"PF3D7_1444800"	"organism=Plasmodium_falciparum_3D7 | product=fructose-bisphosphate aldolase (FBPA) | location=Pf3D7_14_v3:1844041-1845617(-) | length=369 | sequence_SO=chromosome | SO=protein_coding"	"66.9376693766938"	"23"	"286"	"23"	"1"	"369"	"40.08"	"8.12"	"Acetyl [N-Term]"	"0.586"	"0.711"	"0.778"	"0.715"	"0.827"	"0.968"	"0.885"	"0.467"	"0.607"	"27229.2"	"15969.6"	"19349.2"	"21173.0"	"19473.4"	"22519.4"	"26354.8"	"24098.7"	"12723.0"	"16539.6"	"48"	"48"	"48"	"48"	"48"	"48"	"48"	"48"	"48"	"48"	"4960.948"	"0"	"6552.34063294699"	"23"
"False"	"IsMasterProtein"	"PF3D7_0207600"	"organism=Plasmodium_falciparum_3D7 | product=serine repeat antigen 5 (SERA5) | location=Pf3D7_02_v3:303593-307027(-) | length=997 | sequence_SO=chromosome | SO=protein_coding"	"55.5667001003009"	"49"	"333"	"48"	"1"	"997"	"111.698"	"5.41"	""	"0.924"	"1.195"	"1.185"	"1.230"	"1.243"	"1.268"	"1.246"	"0.892"	"0.963"	"19601.7"	"18111.6"	"23426.2"	"23236.7"	"24109.3"	"24355.5"	"24853.0"	"24423.1"	"17482.5"	"18878.9"	"91"	"91"	"91"	"91"	"91"	"91"	"91"	"91"	"91"	"91"	"192.07"	"1"	"6540.95122488027"	"49"
"False"	"IsMasterProtein"	"PF3D7_0520900"	"organism=Plasmodium_falciparum_3D7 | product=S-adenosyl-L-homocysteine hydrolase (SAHH) | location=Pf3D7_05_v3:857038-858477(+) | length=479 | sequence_SO=chromosome | SO=protein_coding"	"46.5553235908142"	"21"	"337"	"21"	"1"	"479"	"53.804"	"5.92"	""	"1.092"	"1.410"	"1.398"	"1.286"	"1.369"	"1.349"	"1.395"	"1.019"	"1.195"	"15817.6"	"17274.5"	"22310.5"	"22117.7"	"20338.6"	"21647.7"	"21334.4"	"22068.6"	"16125.9"	"18897.2"	"47"	"47"	"47"	"47"	"47"	"47"	"47"	"47"	"47"	"47"	"999"	"0"	"5843.18429306139"	"21"
