"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Modifications"	"Abundance Ratio: (127N, Pyr) / (126, Pyr)"	"Abundance Ratio: (127C, Pyr) / (126, Pyr)"	"Abundance Ratio: (128N, Pyr) / (126, Pyr)"	"Abundance Ratio: (128C, Pyr) / (126, Pyr)"	"Abundance Ratio: (129C, Pyr) / (126, Pyr)"	"Abundance Ratio: (129N, Pyr) / (126, Pyr)"	"Abundance Ratio: (130N, Pyr) / (126, Pyr)"	"Abundance Ratio: (130C, Pyr) / (126, Pyr)"	"Abundance Ratio: (131, Pyr) / (126, Pyr)"	"Abundance: F3: 126, Sample, Pyr"	"Abundance: F3: 127N, Sample, Pyr"	"Abundance: F3: 127C, Sample, Pyr"	"Abundance: F3: 128N, Sample, Pyr"	"Abundance: F3: 128C, Sample, Pyr"	"Abundance: F3: 129N, Sample, Pyr"	"Abundance: F3: 129C, Sample, Pyr"	"Abundance: F3: 130N, Sample, Pyr"	"Abundance: F3: 130C, Sample, Pyr"	"Abundance: F3: 131, Sample, Pyr"	"Abundances Count: F3: 126, Sample, Pyr"	"Abundances Count: F3: 127N, Sample, Pyr"	"Abundances Count: F3: 127C, Sample, Pyr"	"Abundances Count: F3: 128N, Sample, Pyr"	"Abundances Count: F3: 128C, Sample, Pyr"	"Abundances Count: F3: 129N, Sample, Pyr"	"Abundances Count: F3: 129C, Sample, Pyr"	"Abundances Count: F3: 130N, Sample, Pyr"	"Abundances Count: F3: 130C, Sample, Pyr"	"Abundances Count: F3: 131, Sample, Pyr"	"emPAI"	"# Razor Peptides"	"Score Mascot"	"# Peptides Mascot"
"False"	"IsMasterProtein"	"PF3D7_1015900"	"organism=Plasmodium_falciparum_3D7 | product=enolase (ENO) | location=Pf3D7_10_v3:637138-639011(+) | length=446 | sequence_SO=chromosome | SO=protein_coding"	"66.5919282511211"	"26"	"712"	"24"	"1"	"446"	"48.647"	"6.6"	""	"1.087"	"1.043"	"1.134"	"0.898"	"0.880"	"0.867"	"0.912"	"0.758"	"0.556"	"45675.7"	"49665.6"	"47661.1"	"51795.4"	"41018.2"	"39582.0"	"40188.9"	"41662.2"	"34643.8"	"25395.0"	"52"	"52"	"52"	"52"	"52"	"52"	"52"	"52"	"52"	"52"	"367.695"	"3"	"16998.2389277893"	"26"
"False"	"IsMasterProtein"	"PF3D7_1444800"	"organism=Plasmodium_falciparum_3D7 | product=fructose-bisphosphate aldolase (FBPA) | location=Pf3D7_14_v3:1844041-1845617(-) | length=369 | sequence_SO=chromosome | SO=protein_coding"	"55.0135501355014"	"18"	"448"	"18"	"1"	"369"	"40.08"	"8.12"	"Acetyl [N-Term]"	"1.146"	"1.039"	"1.153"	"0.908"	"0.854"	"0.877"	"0.739"	"0.177"	"0.150"	"38357.8"	"43948.7"	"39858.9"	"44210.2"	"34812.4"	"33627.8"	"32771.7"	"28332.8"	"6778.6"	"5772.1"	"39"	"39"	"39"	"39"	"39"	"39"	"39"	"39"	"39"	"39"	"181.335"	"0"	"12947.1270486724"	"18"
"False"	"IsMasterProtein"	"PF3D7_1107300"	"organism=Plasmodium_falciparum_3D7 | product=polyadenylate-binding protein-interacting protein 1, putative (PAIP1) | location=Pf3D7_11_v3:301283-311287(-) | length=3334 | sequence_SO=chromosome | SO=protein_coding"	"36.1427714457109"	"104"	"763"	"104"	"1"	"3334"	"381.639"	"7.05"	"Acetyl [N-Term]"	"1.029"	"1.029"	"1.189"	"0.836"	"0.797"	"0.793"	"0.843"	"0.707"	"0.761"	"44487.7"	"45781.2"	"45773.1"	"52881.1"	"37203.6"	"35291.6"	"35474.7"	"37483.3"	"31455.9"	"33849.9"	"206"	"206"	"206"	"206"	"206"	"206"	"206"	"206"	"206"	"206"	"29.183"	"0"	"10589.6011688535"	"104"
"False"	"IsMasterProtein"	"PF3D7_0626800"	"organism=Plasmodium_falciparum_3D7 | product=pyruvate kinase (PyrK) | location=Pf3D7_06_v3:1078995-1081320(+) | length=511 | sequence_SO=chromosome | SO=protein_coding"	"67.7103718199609"	"27"	"454"	"27"	"1"	"511"	"55.625"	"7.55"	""	"1.077"	"1.027"	"1.099"	"0.841"	"0.595"	"0.749"	"0.411"	"0.246"	"0.112"	"35885.1"	"38651.5"	"36870.0"	"39440.0"	"30181.9"	"26880.1"	"21345.0"	"14757.2"	"8839.7"	"4009.3"	"54"	"54"	"54"	"54"	"54"	"54"	"54"	"54"	"54"	"54"	"86.333"	"0"	"10121.5935996487"	"27"
"False"	"IsMasterProtein"	"PF3D7_1110400"	"organism=Plasmodium_falciparum_3D7 | product=asparagine-rich antigen | location=Pf3D7_11_v3:414797-419556(+) | length=1483 | sequence_SO=chromosome | SO=protein_coding"	"45.1786918408631"	"66"	"669"	"66"	"1"	"1483"	"173.819"	"9.17"	"Acetyl [N-Term]"	"1.040"	"1.043"	"1.166"	"0.873"	"0.840"	"0.832"	"0.852"	"0.730"	"0.760"	"41430.6"	"43088.0"	"43214.2"	"48324.1"	"36153.1"	"34468.6"	"34781.0"	"35315.5"	"30259.2"	"31506.0"	"159"	"159"	"159"	"159"	"159"	"159"	"159"	"159"	"159"	"159"	"270.478"	"0"	"9947.26334090514"	"66"
"False"	"IsMasterProtein"	"PF3D7_0818900"	"organism=Plasmodium_falciparum_3D7 | product=heat shock protein 70 (HSP70) | location=Pf3D7_08_v3:860384-862417(+) | length=677 | sequence_SO=chromosome | SO=protein_coding"	"45.1994091580502"	"31"	"510"	"22"	"1"	"677"	"73.868"	"5.67"	""	"1.030"	"0.632"	"0.280"	"0.148"	"0.113"	"0.124"	"0.113"	"0.091"	"0.078"	"83950.0"	"86444.4"	"53063.0"	"23479.3"	"12442.7"	"10419.1"	"9490.4"	"9471.6"	"7644.7"	"6533.3"	"63"	"63"	"63"	"63"	"63"	"63"	"63"	"63"	"63"	"63"	"99"	"18"	"9608.43830209936"	"31"
"False"	"IsMasterProtein"	"PF3D7_0708400"	"organism=Plasmodium_falciparum_3D7 | product=heat shock protein 90 (HSP90) | location=Pf3D7_07_v3:381592-384614(+) | length=745 | sequence_SO=chromosome | SO=protein_coding"	"44.6979865771812"	"36"	"450"	"33"	"1"	"745"	"86.112"	"5.01"	"Acetyl [N-Term]"	"0.988"	"0.591"	"0.241"	"0.102"	"0.065"	"0.078"	"0.059"	"0.049"	"0.045"	"90758.2"	"89635.0"	"53674.1"	"21916.4"	"9213.9"	"7093.3"	"5884.1"	"5393.7"	"4486.3"	"4127.2"	"67"	"67"	"67"	"67"	"67"	"67"	"67"	"67"	"67"	"67"	"66.002"	"6"	"9341.53177922421"	"36"
"False"	"IsMasterProtein"	"PF3D7_1311800"	"organism=Plasmodium_falciparum_3D7 | product=M1-family alanyl aminopeptidase (M1AAP) | location=Pf3D7_13_v3:501790-505047(+) | length=1085 | sequence_SO=chromosome | SO=protein_coding"	"61.0138248847926"	"61"	"601"	"60"	"1"	"1085"	"125.983"	"7.56"	""	"1.049"	"1.058"	"1.218"	"0.902"	"0.487"	"0.804"	"0.165"	"0.120"	"0.093"	"37836.3"	"39677.0"	"40021.2"	"46070.5"	"34109.9"	"30412.8"	"18442.9"	"6259.6"	"4531.7"	"3533.4"	"115"	"115"	"115"	"115"	"115"	"115"	"115"	"115"	"115"	"115"	"87.147"	"1"	"9091.78828499116"	"61"
"False"	"IsMasterProtein"	"PF3D7_1036900"	"organism=Plasmodium_falciparum_3D7 | product=conserved Plasmodium protein, unknown function | location=Pf3D7_10_v3:1452599-1458006(-) | length=1681 | sequence_SO=chromosome | SO=protein_coding"	"35.2766210588935"	"51"	"556"	"51"	"1"	"1681"	"192.569"	"9.26"	""	"1.030"	"1.040"	"1.242"	"0.888"	"0.893"	"0.878"	"0.933"	"0.796"	"0.850"	"28177.3"	"29015.0"	"29291.0"	"34994.1"	"25025.3"	"24751.7"	"25152.0"	"26303.3"	"22442.9"	"23964.1"	"111"	"111"	"111"	"111"	"111"	"111"	"111"	"111"	"111"	"111"	"63.223"	"0"	"8461.37404315451"	"51"
"False"	"IsMasterProtein"	"PF3D7_0608800"	"organism=Plasmodium_falciparum_3D7 | product=ornithine aminotransferase (OAT) | location=Pf3D7_06_v3:362635-363879(+) | length=414 | sequence_SO=chromosome | SO=protein_coding"	"59.4202898550725"	"23"	"331"	"23"	"1"	"414"	"46.025"	"6.89"	"Acetyl [N-Term]"	"1.104"	"0.975"	"0.760"	"0.220"	"0.091"	"0.144"	"0.075"	"0.058"	"0.054"	"40672.5"	"44889.0"	"39644.1"	"30912.6"	"8944.8"	"5868.9"	"3711.5"	"3037.6"	"2374.9"	"2176.1"	"41"	"41"	"41"	"41"	"41"	"41"	"41"	"41"	"41"	"41"	"60.054"	"0"	"8370.80305410255"	"23"
