id	description	condition	37	40	43	46	49	52	55	58	61	64	sumUniPeps	sumPSMs	countNum
P00338-3	Isoform 3 of L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA	Ctrl.1	1	0.9391417317331167	0.9663121735683584	0.8760202537521729	0.7927259595733839	0.6486237414870014	0.48624918507986925	0.3657001279835297	0.19622619970744673	0.10512235336250855	20	694	37
P00352	Retinal dehydrogenase 1 OS=Homo sapiens GN=ALDH1A1 PE=1 SV=2	Ctrl.1	1	1.0204527041775422	1.0109258004423396	0.9715860996160463	0.8321650620397213	0.6853961110831149	0.5254341010936315	0.4786806553280348	0.43247863915621343	0.38054291917228095	17	83	22
P00367	Glutamate dehydrogenase 1, mitochondrial OS=Homo sapiens GN=GLUD1 PE=1 SV=2	Ctrl.1	1	0.9289778601775635	0.908409381242553	0.8312237635034821	0.7108898219557335	0.4933626254145223	0.20839250789137254	0.08423986687967486	0.0624799839864507	0.06097096495025496	5	83	23
P00374	Dihydrofolate reductase OS=Homo sapiens GN=DHFR PE=1 SV=2	Ctrl.1	1	0.5549473869332053	0.2211696821625025	0.10850705415793958	0.06507451906945688	0.04085818844012607	0.025826421918161552	0.017839030633342908	0.01366749649703609	0.010512235336250855	9	20	9
P00387-3	Isoform 3 of NADH-cytochrome b5 reductase 3 OS=Homo sapiens GN=CYB5R3	Ctrl.1	1	0.9858955408886614	0.8827802764426065	0.7595493791055772	0.545245591597116	0.2686425889938289	0.14516230250552872	0.11198947008709717	0.07907622973285167	0.06307341201750513	3	10	3
P00390	Glutathione reductase, mitochondrial OS=Homo sapiens GN=GSR PE=1 SV=2	Ctrl.1	1	1.04484599591087	1.0156719309608484	0.9885092181544405	0.8716041645060589	0.7364688466332724	0.5868831739333953	0.5232782319113921	0.29482742443606424	0.09986623569438312	3	131	23
P00390-5	Isoform 4 of Glutathione reductase, mitochondrial OS=Homo sapiens GN=GSR	Ctrl.1	1	1.04484599591087	1.0394025835533913	1.0333057084031312	1.0264026416864336	0.9938754338060667	0.749856801899725	0.68779373664111	0.34754491092463197	0.19447635372064082	1	110	1
P00441	Superoxide dismutase [Cu-Zn] OS=Homo sapiens GN=SOD1 PE=1 SV=2	Ctrl.1	1	0.9940266381331039	0.9416322948721135	0.9337579522949296	0.8775200298760095	0.7691553973853733	0.6385360177697184	0.6977043092151893	0.6843510746015927	0.676987955654555	14	201	17
P00480	Ornithine carbamoyltransferase, mitochondrial OS=Homo sapiens GN=OTC PE=1 SV=3	Ctrl.1	1	0.956420313377557	0.9065109290351495	0.9138484010732895	0.9218890201506392	0.7844772180504206	0.4835774862607491	0.11595369911672893	0.06833748248518046	0.06202218848388004	1	4	1
P00491	Purine nucleoside phosphorylase OS=Homo sapiens GN=PNP PE=1 SV=2	Ctrl.1	1	1.010288832621989	0.991941278368305	0.9476946381500778	0.8597724337661576	0.753833576720326	0.6109284633054768	0.6441872173151607	0.5691536041265743	0.4635895783286627	18	153	28
