"Checked"	"Protein FDR Confidence"	"Master"	"Accession"	"Description"	"Exp. q-value"	"Sum PEP Score"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Found in Sample: [S1] F1: 126, Control, drugS"	"Found in Sample: [S3] F1: 127N, Sample, drugS"	"Found in Sample: [S4] F1: 127C, Sample, drugS"	"Found in Sample: [S5] F1: 128N, Sample, drugS"	"Found in Sample: [S6] F1: 128C, Sample, drugS"	"Found in Sample: [S7] F1: 129N, Sample, drugS"	"Found in Sample: [S8] F1: 129C, Sample, drugS"	"Found in Sample: [S9] F1: 130N, Sample, drugS"	"Found in Sample: [S10] F1: 130C, Sample, drugS"	"Found in Sample: [S11] F1: 131, Sample, drugS"	"Modifications"	"Area: 126, drugS"	"Area: 127N, drugS"	"Area: 127C, drugS"	"Area: 128N, drugS"	"Area: 128C, drugS"	"Area: 129N, drugS"	"Area: 129C, drugS"	"Area: 130N, drugS"	"Area: 130C, drugS"	"Area: 131, drugS"	"Abundance Ratio: (127N, drugS) / (126, drugS)"	"Abundance Ratio: (127C, drugS) / (126, drugS)"	"Abundance Ratio: (128N, drugS) / (126, drugS)"	"Abundance Ratio: (128C, drugS) / (126, drugS)"	"Abundance Ratio: (129N, drugS) / (126, drugS)"	"Abundance Ratio: (129C, drugS) / (126, drugS)"	"Abundance Ratio: (130N, drugS) / (126, drugS)"	"Abundance Ratio: (130C, drugS) / (126, drugS)"	"Abundance Ratio: (131, drugS) / (126, drugS)"	"Abundance: F1: 126, Control, drugS"	"Abundance: F1: 127N, Sample, drugS"	"Abundance: F1: 127C, Sample, drugS"	"Abundance: F1: 128N, Sample, drugS"	"Abundance: F1: 128C, Sample, drugS"	"Abundance: F1: 129N, Sample, drugS"	"Abundance: F1: 129C, Sample, drugS"	"Abundance: F1: 130N, Sample, drugS"	"Abundance: F1: 130C, Sample, drugS"	"Abundance: F1: 131, Sample, drugS"	"Abundances Count: F1: 126, Control, drugS"	"Abundances Count: F1: 127N, Sample, drugS"	"Abundances Count: F1: 127C, Sample, drugS"	"Abundances Count: F1: 128N, Sample, drugS"	"Abundances Count: F1: 128C, Sample, drugS"	"Abundances Count: F1: 129N, Sample, drugS"	"Abundances Count: F1: 129C, Sample, drugS"	"Abundances Count: F1: 130N, Sample, drugS"	"Abundances Count: F1: 130C, Sample, drugS"	"Abundances Count: F1: 131, Sample, drugS"	"emPAI"	"# Razor Peptides"	"Score Sequest HT"	"# Peptides Sequest HT"
"False"	"High"	"IsMasterProtein"	"Q9Y490"	"Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3"	"0"	"1118.42272175616"	"57.4576938213302"	"105"	"349"	"105"	"1"	"2541"	"269.599"	"6.07"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.3e9"	"9.9e8"	"1.3e9"	"1.3e9"	"1.3e9"	"1.4e9"	"1.5e9"	"1.6e9"	"1.4e9"	"1.2e9"	"0.915"	"1.075"	"1.111"	"1.103"	"1.164"	"1.188"	"1.223"	"1.125"	"1.025"	"39111.7"	"35771.7"	"42054.5"	"43440.9"	"43127.7"	"45526.9"	"46464.8"	"47817.9"	"44013.7"	"40070.0"	"151"	"151"	"151"	"151"	"151"	"151"	"151"	"151"	"151"	"151"	"31.087"	"0"	"1447.61558556557"	"105"
"False"	"High"	"IsMasterProtein"	"P21333"	"Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4"	"0"	"1033.68170887875"	"56.8190404231205"	"104"	"381"	"92"	"1"	"2647"	"280.564"	"6.06"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"7.2e8"	"6.1e8"	"7.7e8"	"7.6e8"	"7.2e8"	"7.4e8"	"8.1e8"	"7.7e8"	"7.3e8"	"6.3e8"	"0.926"	"1.099"	"1.116"	"1.115"	"1.170"	"1.196"	"1.221"	"1.132"	"1.032"	"39490.5"	"36565.6"	"43397.1"	"44062.2"	"44013.0"	"46209.7"	"47234.4"	"48214.4"	"44710.0"	"40743.4"	"120"	"120"	"120"	"120"	"120"	"120"	"120"	"120"	"120"	"120"	"31.596"	"3"	"1541.55225515366"	"104"
"False"	"High"	"IsMasterProtein"	"Q09666"	"Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2"	"0"	"1016.36640149186"	"52.1561969439728"	"162"	"329"	"162"	"1"	"5890"	"628.699"	"6.15"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"3.8e8"	"3.2e8"	"4.0e8"	"3.9e8"	"4.1e8"	"4.1e8"	"4.3e8"	"4.1e8"	"4.0e8"	"3.5e8"	"0.952"	"1.077"	"1.110"	"1.110"	"1.172"	"1.172"	"1.187"	"1.108"	"1.015"	"39463.1"	"37558.2"	"42491.6"	"43799.3"	"43792.1"	"46236.9"	"46245.1"	"46826.8"	"43722.9"	"40048.5"	"185"	"185"	"185"	"185"	"185"	"185"	"185"	"185"	"185"	"185"	"2.881"	"0"	"1193.39910459518"	"162"
"False"	"High"	"IsMasterProtein"	"Q14315"	"Filamin-C OS=Homo sapiens GN=FLNC PE=1 SV=3"	"0"	"900.003045887225"	"56.8807339449541"	"115"	"345"	"100"	"1"	"2725"	"290.841"	"5.97"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"6.8e8"	"6.0e8"	"6.7e8"	"7.2e8"	"6.4e8"	"7.5e8"	"7.3e8"	"7.7e8"	"7.7e8"	"6.5e8"	"0.935"	"1.082"	"1.109"	"1.110"	"1.149"	"1.178"	"1.182"	"1.121"	"1.033"	"44714.8"	"41816.2"	"48361.3"	"49569.5"	"49647.8"	"51396.6"	"52686.2"	"52842.2"	"50116.1"	"46183.0"	"147"	"147"	"147"	"147"	"147"	"147"	"147"	"147"	"147"	"147"	"18.573"	"17"	"1360.88236045837"	"115"
"False"	"High"	"IsMasterProtein"	"Q15149-2"	"Isoform 2 of Plectin OS=Homo sapiens GN=PLEC"	"0"	"856.496726526829"	"39.3310013117621"	"155"	"256"	"1"	"1"	"4574"	"518.157"	"5.74"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"6.2e6"	"6.9e6"	"6.6e6"	"7.2e6"	"7.0e6"	"8.6e6"	"7.8e6"	"8.2e6"	"6.9e6"	"6.7e6"	"0.930"	"1.087"	"1.090"	"1.104"	"1.169"	"1.185"	"1.201"	"1.131"	"1.023"	"26825.7"	"24953.3"	"29163.5"	"29252.7"	"29609.8"	"31362.4"	"31775.1"	"32217.7"	"30332.5"	"27448.0"	"162"	"162"	"162"	"162"	"162"	"162"	"162"	"162"	"162"	"162"	"3.246"	"161"	"995.834483385086"	"155"
"False"	"High"	"IsMasterProtein"	"Q15149-8"	"Isoform 8 of Plectin OS=Homo sapiens GN=PLEC"	"0"	"853.800137855296"	"39.6022099447514"	"155"	"256"	"1"	"1"	"4525"	"513.393"	"5.76"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"2.1e6"	"2.2e6"	"2.3e6"	"2.4e6"	"2.8e6"	"2.7e6"	"2.6e6"	"2.5e6"	"2.7e6"	"2.3e6"	"1.019"	"1.081"	"1.103"	"1.319"	"1.263"	"1.223"	"1.166"	"1.281"	"1.081"	"90.1"	"91.8"	"97.4"	"99.4"	"118.8"	"113.8"	"110.2"	"105.1"	"115.4"	"97.4"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"3.283"	"0"	"995.117045640945"	"155"
"False"	"High"	"IsMasterProtein"	"O75369-8"	"Isoform 8 of Filamin-B OS=Homo sapiens GN=FLNB"	"0"	"825.341797214259"	"49.3733383972655"	"98"	"280"	"87"	"1"	"2633"	"281.459"	"5.71"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"3.2e8"	"3.1e8"	"3.6e8"	"3.5e8"	"3.3e8"	"3.7e8"	"3.7e8"	"3.8e8"	"3.5e8"	"3.2e8"	"0.935"	"1.098"	"1.108"	"1.114"	"1.161"	"1.185"	"1.195"	"1.124"	"1.032"	"30668.6"	"28667.7"	"33668.1"	"33981.1"	"34177.1"	"35594.8"	"36354.4"	"36647.3"	"34476.1"	"31662.2"	"117"	"117"	"117"	"117"	"117"	"117"	"117"	"117"	"117"	"117"	"16.913"	"0"	"1079.64985799789"	"98"
"False"	"High"	"IsMasterProtein"	"Q9UPN3"	"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Homo sapiens GN=MACF1 PE=1 SV=4"	"0"	"794.55180553604"	"26.0016242555495"	"163"	"221"	"36"	"1"	"7388"	"837.787"	"5.39"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"8.3e7"	"8.4e7"	"8.3e7"	"9.6e7"	"8.4e7"	"1.1e8"	"9.7e7"	"1.1e8"	"9.1e7"	"8.7e7"	"0.928"	"1.070"	"1.098"	"1.094"	"1.192"	"1.182"	"1.235"	"1.135"	"1.035"	"29980.6"	"27814.3"	"32064.9"	"32926.1"	"32789.0"	"35746.4"	"35440.0"	"37025.4"	"34035.6"	"31017.1"	"171"	"171"	"171"	"171"	"171"	"171"	"171"	"171"	"171"	"171"	"1.54"	"132"	"869.786634922028"	"163"
"False"	"High"	"IsMasterProtein"	"P35579"	"Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4"	"0"	"747.689280408425"	"50.0510204081633"	"89"	"230"	"72"	"1"	"1960"	"226.392"	"5.6"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"2.1e8"	"1.9e8"	"2.0e8"	"2.1e8"	"2.2e8"	"2.3e8"	"2.4e8"	"2.4e8"	"2.2e8"	"2.0e8"	"0.946"	"1.039"	"1.076"	"1.093"	"1.164"	"1.169"	"1.206"	"1.107"	"1.021"	"30070.5"	"28456.4"	"31255.7"	"32355.5"	"32875.8"	"34996.9"	"35153.2"	"36265.2"	"33277.4"	"30695.7"	"116"	"116"	"116"	"116"	"116"	"116"	"116"	"116"	"116"	"116"	"20.544"	"20"	"959.828075170517"	"89"
"False"	"High"	"IsMasterProtein"	"P18206"	"Vinculin OS=Homo sapiens GN=VCL PE=1 SV=4"	"0"	"727.224193333886"	"61.5520282186949"	"63"	"373"	"63"	"1"	"1134"	"123.722"	"5.66"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.4e9"	"1.4e9"	"1.5e9"	"1.7e9"	"1.4e9"	"1.7e9"	"1.7e9"	"1.6e9"	"1.5e9"	"1.4e9"	"0.963"	"1.094"	"1.134"	"1.153"	"1.177"	"1.200"	"1.216"	"1.135"	"1.052"	"44526.4"	"42863.5"	"48719.2"	"50509.6"	"51319.6"	"52408.9"	"53422.0"	"54128.0"	"50554.7"	"46859.9"	"111"	"111"	"111"	"111"	"111"	"111"	"111"	"111"	"111"	"111"	"154.052"	"0"	"1379.48763632774"	"63"
