"Checked"	"Protein FDR Confidence"	"Master"	"Accession"	"Description"	"Exp. q-value"	"Sum PEP Score"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Found in Sample: [S11] F2: 126, Sample, drugX"	"Found in Sample: [S12] F2: 127N, Sample, drugX"	"Found in Sample: [S13] F2: 127C, Sample, drugX"	"Found in Sample: [S14] F2: 128N, Sample, drugX"	"Found in Sample: [S15] F2: 128C, Sample, drugX"	"Found in Sample: [S16] F2: 129N, Sample, drugX"	"Found in Sample: [S17] F2: 129C, Sample, drugX"	"Found in Sample: [S18] F2: 130N, Sample, drugX"	"Found in Sample: [S19] F2: 130C, Sample, drugX"	"Found in Sample: [S20] F2: 131, Sample, drugX"	"Modifications"	"Area: 126, drugX"	"Area: 127N, drugX"	"Area: 127C, drugX"	"Area: 128N, drugX"	"Area: 128C, drugX"	"Area: 129N, drugX"	"Area: 129C, drugX"	"Area: 130N, drugX"	"Area: 130C, drugX"	"Area: 131, drugX"	"Abundance Ratio: (127N, drugX) / (126, drugX)"	"Abundance Ratio: (127C, drugX) / (126, drugX)"	"Abundance Ratio: (128N, drugX) / (126, drugX)"	"Abundance Ratio: (128C, drugX) / (126, drugX)"	"Abundance Ratio: (129N, drugX) / (126, drugX)"	"Abundance Ratio: (129C, drugX) / (126, drugX)"	"Abundance Ratio: (130N, drugX) / (126, drugX)"	"Abundance Ratio: (130C, drugX) / (126, drugX)"	"Abundance Ratio: (131, drugX) / (126, drugX)"	"Abundance: F2: 126, Sample, drugX"	"Abundance: F2: 127N, Sample, drugX"	"Abundance: F2: 127C, Sample, drugX"	"Abundance: F2: 128N, Sample, drugX"	"Abundance: F2: 128C, Sample, drugX"	"Abundance: F2: 129N, Sample, drugX"	"Abundance: F2: 129C, Sample, drugX"	"Abundance: F2: 130N, Sample, drugX"	"Abundance: F2: 130C, Sample, drugX"	"Abundance: F2: 131, Sample, drugX"	"Abundances Count: F2: 126, Sample, drugX"	"Abundances Count: F2: 127N, Sample, drugX"	"Abundances Count: F2: 127C, Sample, drugX"	"Abundances Count: F2: 128N, Sample, drugX"	"Abundances Count: F2: 128C, Sample, drugX"	"Abundances Count: F2: 129N, Sample, drugX"	"Abundances Count: F2: 129C, Sample, drugX"	"Abundances Count: F2: 130N, Sample, drugX"	"Abundances Count: F2: 130C, Sample, drugX"	"Abundances Count: F2: 131, Sample, drugX"	"emPAI"	"# Razor Peptides"	"Score Sequest HT"	"# Peptides Sequest HT"
"False"	"High"	"IsMasterProtein"	"Q9Y490"	"Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3"	"0"	"1419.0280793014"	"54.7028728846911"	"94"	"249"	"94"	"1"	"2541"	"269.599"	"6.07"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.1e9"	"8.6e8"	"1.2e9"	"1.1e9"	"1.1e9"	"9.6e8"	"1.0e9"	"1.0e9"	"7.7e8"	"8.2e8"	"0.831"	"1.086"	"1.032"	"0.981"	"0.909"	"0.907"	"0.967"	"0.746"	"0.771"	"32887.1"	"27327.4"	"35712.0"	"33927.9"	"32277.9"	"29905.6"	"29821.8"	"31803.1"	"24548.6"	"25370.5"	"124"	"124"	"124"	"124"	"124"	"124"	"124"	"124"	"124"	"124"	"17.176"	"0"	"1094.13930916786"	"94"
"False"	"High"	"IsMasterProtein"	"Q09666"	"Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2"	"0"	"1071.26700649274"	"43.4125636672326"	"133"	"219"	"133"	"1"	"5890"	"628.699"	"6.15"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"5.8e8"	"4.5e8"	"5.4e8"	"5.4e8"	"5.2e8"	"4.9e8"	"5.5e8"	"5.4e8"	"3.9e8"	"3.7e8"	"0.775"	"0.891"	"0.908"	"0.913"	"0.887"	"0.914"	"0.957"	"0.693"	"0.663"	"34479.4"	"26718.0"	"30721.8"	"31309.6"	"31495.0"	"30578.1"	"31500.9"	"32993.6"	"23879.8"	"22855.3"	"152"	"152"	"152"	"152"	"152"	"152"	"152"	"152"	"152"	"152"	"1.926"	"0"	"841.173257350922"	"133"
"False"	"High"	"IsMasterProtein"	"P21333"	"Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4"	"0"	"1047.96168102417"	"50.5855685681904"	"101"	"216"	"92"	"1"	"2647"	"280.564"	"6.06"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"9.9e8"	"7.7e8"	"8.5e8"	"8.5e8"	"7.4e8"	"7.1e8"	"7.8e8"	"7.9e8"	"5.6e8"	"5.7e8"	"0.812"	"0.962"	"0.923"	"0.887"	"0.851"	"0.885"	"0.931"	"0.707"	"0.685"	"32054.7"	"26036.8"	"30839.2"	"29595.4"	"28425.6"	"27274.8"	"28375.9"	"29838.9"	"22674.8"	"21954.8"	"115"	"115"	"115"	"115"	"115"	"115"	"115"	"115"	"115"	"115"	"13.384"	"10"	"918.795257329941"	"101"
"False"	"High"	"IsMasterProtein"	"P06733"	"Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2"	"0"	"977.698020942019"	"79.7235023041475"	"40"	"781"	"13"	"1"	"434"	"47.139"	"7.39"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.7e10"	"1.3e10"	"1.6e10"	"1.5e10"	"1.5e10"	"1.4e10"	"1.6e10"	"1.6e10"	"1.2e10"	"1.1e10"	"0.812"	"0.937"	"0.967"	"0.964"	"0.950"	"0.951"	"1.028"	"0.772"	"0.764"	"100837.5"	"81877.2"	"94492.5"	"97515.1"	"97207.7"	"95817.3"	"95937.2"	"103663.7"	"77808.8"	"77003.4"	"73"	"73"	"73"	"73"	"73"	"73"	"73"	"73"	"73"	"73"	"108262.673"	"51"	"3465.28272008896"	"40"
"False"	"High"	"IsMasterProtein"	"Q14204"	"Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5"	"0"	"955.63911283007"	"33.1683168316832"	"128"	"210"	"128"	"1"	"4646"	"532.072"	"6.4"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"3.2e8"	"2.4e8"	"2.9e8"	"3.1e8"	"2.7e8"	"2.7e8"	"2.8e8"	"2.9e8"	"2.0e8"	"2.1e8"	"0.835"	"1.035"	"1.018"	"0.980"	"0.919"	"0.915"	"0.964"	"0.750"	"0.757"	"30380.9"	"25372.7"	"31448.1"	"30920.2"	"29771.4"	"27930.1"	"27813.1"	"29285.6"	"22780.0"	"22991.7"	"152"	"152"	"152"	"152"	"152"	"152"	"152"	"152"	"152"	"152"	"3.592"	"0"	"820.467209815979"	"128"
"False"	"High"	"IsMasterProtein"	"P18206"	"Vinculin OS=Homo sapiens GN=VCL PE=1 SV=4"	"0"	"942.031925817237"	"69.3121693121693"	"74"	"325"	"74"	"1"	"1134"	"123.722"	"5.66"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.4e9"	"1.1e9"	"1.2e9"	"1.1e9"	"1.2e9"	"1.2e9"	"1.2e9"	"1.2e9"	"9.4e8"	"8.6e8"	"0.806"	"0.943"	"0.959"	"0.939"	"0.924"	"0.945"	"0.992"	"0.766"	"0.760"	"36468.3"	"29378.6"	"34386.5"	"34984.3"	"34242.1"	"33702.1"	"34463.4"	"36177.0"	"27952.4"	"27711.1"	"118"	"118"	"118"	"118"	"118"	"118"	"118"	"118"	"118"	"118"	"116.877"	"0"	"1149.15168905258"	"74"
"False"	"High"	"IsMasterProtein"	"O75369-8"	"Isoform 8 of Filamin-B OS=Homo sapiens GN=FLNB"	"0"	"804.934483401944"	"44.8537789593619"	"90"	"165"	"78"	"1"	"2633"	"281.459"	"5.71"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"6.8e8"	"5.3e8"	"6.4e8"	"5.8e8"	"5.9e8"	"5.8e8"	"6.0e8"	"5.7e8"	"4.7e8"	"4.2e8"	"0.790"	"0.925"	"0.926"	"0.908"	"0.886"	"0.905"	"0.956"	"0.709"	"0.703"	"22389.3"	"17682.3"	"20706.1"	"20740.2"	"20332.3"	"19844.5"	"20263.0"	"21394.7"	"15875.8"	"15748.8"	"96"	"96"	"96"	"96"	"96"	"96"	"96"	"96"	"96"	"96"	"7.036"	"4"	"652.558278083801"	"90"
"False"	"High"	"IsMasterProtein"	"P55072"	"Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4"	"0"	"791.585087275365"	"65.0124069478908"	"46"	"196"	"46"	"1"	"806"	"89.266"	"5.26"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"2.0e9"	"1.6e9"	"1.7e9"	"1.6e9"	"1.5e9"	"1.5e9"	"1.7e9"	"1.8e9"	"1.3e9"	"1.1e9"	"0.841"	"1.012"	"1.043"	"1.020"	"1.017"	"1.014"	"1.085"	"0.824"	"0.811"	"26180.1"	"22016.1"	"26501.7"	"27306.0"	"26702.9"	"26637.0"	"26541.1"	"28398.0"	"21562.0"	"21222.6"	"85"	"85"	"85"	"85"	"85"	"85"	"85"	"85"	"85"	"85"	"485.968"	"0"	"801.626304388046"	"46"
"False"	"High"	"IsMasterProtein"	"P06733-2"	"Isoform MBP-1 of Alpha-enolase OS=Homo sapiens GN=ENO1"	"0"	"744.896526019631"	"80.9384164222874"	"27"	"503"	"1"	"1"	"341"	"36.905"	"6.28"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"8.7e8"	"5.3e8"	"6.8e8"	"7.5e8"	"6.9e8"	"6.8e8"	"7.2e8"	"7.6e8"	"4.6e8"	"4.2e8"	"0.637"	"0.750"	"0.820"	"0.804"	"0.816"	"0.807"	"0.897"	"0.551"	"0.502"	"1686.6"	"1074.5"	"1264.3"	"1382.7"	"1355.5"	"1375.6"	"1361.4"	"1513.7"	"929.8"	"845.9"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"40614.86"	"0"	"2290.53913378716"	"27"
"False"	"High"	"IsMasterProtein"	"P68371"	"Tubulin beta-4B chain OS=Homo sapiens GN=TUBB4B PE=1 SV=1"	"0"	"740.768247881381"	"68.7640449438202"	"26"	"349"	"1"	"1"	"445"	"49.799"	"4.89"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.2e9"	"9.0e8"	"9.9e8"	"9.4e8"	"9.0e8"	"9.7e8"	"1.0e9"	"1.1e9"	"8.4e8"	"7.9e8"	"0.821"	"0.931"	"0.927"	"0.919"	"0.914"	"0.941"	"1.001"	"0.758"	"0.748"	"38500.9"	"31620.7"	"35838.2"	"35677.2"	"35376.9"	"35206.4"	"36210.1"	"38558.1"	"29167.9"	"28801.5"	"59"	"59"	"59"	"59"	"59"	"59"	"59"	"59"	"59"	"59"	"201532.769"	"56"	"1344.07609939575"	"26"
