"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Modifications"	"Abundance Ratio: (127N, DMSO) / (126, DMSO)"	"Abundance Ratio: (127C, DMSO) / (126, DMSO)"	"Abundance Ratio: (128N, DMSO) / (126, DMSO)"	"Abundance Ratio: (128C, DMSO) / (126, DMSO)"	"Abundance Ratio: (129N, DMSO) / (126, DMSO)"	"Abundance Ratio: (129C, DMSO) / (126, DMSO)"	"Abundance Ratio: (130N, DMSO) / (126, DMSO)"	"Abundance Ratio: (130C, DMSO) / (126, DMSO)"	"Abundance Ratio: (131, DMSO) / (126, DMSO)"	"Abundance: F2: 126, Sample, DMSO"	"Abundance: F2: 127N, Sample, DMSO"	"Abundance: F2: 127C, Sample, DMSO"	"Abundance: F2: 128N, Sample, DMSO"	"Abundance: F2: 128C, Sample, DMSO"	"Abundance: F2: 129N, Sample, DMSO"	"Abundance: F2: 129C, Sample, DMSO"	"Abundance: F2: 130N, Sample, DMSO"	"Abundance: F2: 130C, Sample, DMSO"	"Abundance: F2: 131, Sample, DMSO"	"Abundances Count: F2: 126, Sample, DMSO"	"Abundances Count: F2: 127N, Sample, DMSO"	"Abundances Count: F2: 127C, Sample, DMSO"	"Abundances Count: F2: 128N, Sample, DMSO"	"Abundances Count: F2: 128C, Sample, DMSO"	"Abundances Count: F2: 129N, Sample, DMSO"	"Abundances Count: F2: 129C, Sample, DMSO"	"Abundances Count: F2: 130N, Sample, DMSO"	"Abundances Count: F2: 130C, Sample, DMSO"	"Abundances Count: F2: 131, Sample, DMSO"	"emPAI"	"# Razor Peptides"	"Score Mascot"	"# Peptides Mascot"
"False"	"IsMasterProtein"	"PF3D7_1015900"	"organism=Plasmodium_falciparum_3D7 | product=enolase (ENO) | location=Pf3D7_10_v3:637138-639011(+) | length=446 | sequence_SO=chromosome | SO=protein_coding"	"63.2286995515695"	"25"	"693"	"23"	"1"	"446"	"48.647"	"6.6"	""	"1.081"	"0.985"	"1.010"	"0.826"	"0.788"	"0.797"	"0.806"	"0.674"	"0.482"	"64685.5"	"69939.6"	"63685.5"	"65330.5"	"53437.6"	"50975.1"	"51566.6"	"52151.2"	"43569.6"	"31195.0"	"53"	"53"	"53"	"53"	"53"	"53"	"53"	"53"	"53"	"53"	"367.695"	"3"	"17737.3437865058"	"25"
"False"	"IsMasterProtein"	"PF3D7_1444800"	"organism=Plasmodium_falciparum_3D7 | product=fructose-bisphosphate aldolase (FBPA) | location=Pf3D7_14_v3:1844041-1845617(-) | length=369 | sequence_SO=chromosome | SO=protein_coding"	"58.2655826558266"	"20"	"442"	"20"	"1"	"369"	"40.08"	"8.12"	"Acetyl [N-Term]"	"1.023"	"0.956"	"0.967"	"0.804"	"0.758"	"0.745"	"0.638"	"0.153"	"0.135"	"56620.5"	"57925.6"	"54125.2"	"54772.4"	"45500.7"	"42944.6"	"42205.0"	"36103.4"	"8681.7"	"7631.9"	"41"	"41"	"41"	"41"	"41"	"41"	"41"	"41"	"41"	"41"	"163.965"	"0"	"12842.8640783641"	"20"
"False"	"IsMasterProtein"	"PF3D7_1110400"	"organism=Plasmodium_falciparum_3D7 | product=asparagine-rich antigen | location=Pf3D7_11_v3:414797-419556(+) | length=1483 | sequence_SO=chromosome | SO=protein_coding"	"48.1456507080243"	"68"	"718"	"68"	"1"	"1483"	"173.819"	"9.17"	"Acetyl [N-Term]"	"0.942"	"0.973"	"0.939"	"0.786"	"0.723"	"0.721"	"0.720"	"0.620"	"0.648"	"60519.6"	"56995.4"	"58859.4"	"56822.2"	"47585.5"	"43784.1"	"43633.3"	"43595.8"	"37539.0"	"39196.7"	"174"	"174"	"174"	"174"	"174"	"174"	"174"	"174"	"174"	"174"	"328.665"	"0"	"11122.9415937968"	"68"
"False"	"IsMasterProtein"	"PF3D7_1107300"	"organism=Plasmodium_falciparum_3D7 | product=polyadenylate-binding protein-interacting protein 1, putative (PAIP1) | location=Pf3D7_11_v3:301283-311287(-) | length=3334 | sequence_SO=chromosome | SO=protein_coding"	"38.4823035392921"	"117"	"846"	"117"	"1"	"3334"	"381.639"	"7.05"	"Acetyl [N-Term]"	"0.934"	"0.971"	"0.942"	"0.754"	"0.681"	"0.697"	"0.709"	"0.611"	"0.649"	"61986.8"	"57904.1"	"60167.2"	"58406.0"	"46751.6"	"42213.3"	"43209.4"	"43950.7"	"37870.6"	"40246.9"	"223"	"223"	"223"	"223"	"223"	"223"	"223"	"223"	"223"	"223"	"33.48"	"0"	"11029.5552677397"	"117"
"False"	"IsMasterProtein"	"PF3D7_0818900"	"organism=Plasmodium_falciparum_3D7 | product=heat shock protein 70 (HSP70) | location=Pf3D7_08_v3:860384-862417(+) | length=677 | sequence_SO=chromosome | SO=protein_coding"	"44.165435745938"	"30"	"532"	"22"	"1"	"677"	"73.868"	"5.67"	""	"0.931"	"0.660"	"0.287"	"0.154"	"0.125"	"0.113"	"0.109"	"0.091"	"0.078"	"110637.9"	"102992.9"	"72995.5"	"31759.6"	"17001.9"	"13797.5"	"12491.6"	"12100.9"	"10048.7"	"8629.1"	"60"	"60"	"60"	"60"	"60"	"60"	"60"	"60"	"60"	"60"	"78.88"	"17"	"10923.2905795026"	"30"
"False"	"IsMasterProtein"	"PF3D7_0708400"	"organism=Plasmodium_falciparum_3D7 | product=heat shock protein 90 (HSP90) | location=Pf3D7_07_v3:381592-384614(+) | length=745 | sequence_SO=chromosome | SO=protein_coding"	"47.1140939597315"	"41"	"509"	"37"	"1"	"745"	"86.112"	"5.01"	"Acetyl [N-Term]"	"0.889"	"0.618"	"0.249"	"0.105"	"0.078"	"0.063"	"0.056"	"0.050"	"0.044"	"134326.2"	"119351.3"	"83008.0"	"33492.9"	"14115.1"	"10420.2"	"8479.7"	"7571.2"	"6696.3"	"5852.5"	"72"	"72"	"72"	"72"	"72"	"72"	"72"	"72"	"72"	"72"	"89.474"	"7"	"10592.949769508"	"41"
"False"	"IsMasterProtein"	"PF3D7_0626800"	"organism=Plasmodium_falciparum_3D7 | product=pyruvate kinase (PyrK) | location=Pf3D7_06_v3:1078995-1081320(+) | length=511 | sequence_SO=chromosome | SO=protein_coding"	"64.3835616438356"	"26"	"455"	"26"	"1"	"511"	"55.625"	"7.55"	""	"0.947"	"0.948"	"0.939"	"0.774"	"0.677"	"0.551"	"0.373"	"0.229"	"0.107"	"48407.4"	"45831.6"	"45904.6"	"45441.2"	"37462.2"	"32757.3"	"26674.4"	"18040.1"	"11098.7"	"5197.2"	"51"	"51"	"51"	"51"	"51"	"51"	"51"	"51"	"51"	"51"	"65.608"	"0"	"10350.7616878939"	"26"
"False"	"IsMasterProtein"	"PF3D7_1311800"	"organism=Plasmodium_falciparum_3D7 | product=M1-family alanyl aminopeptidase (M1AAP) | location=Pf3D7_13_v3:501790-505047(+) | length=1085 | sequence_SO=chromosome | SO=protein_coding"	"58.8940092165899"	"61"	"616"	"60"	"1"	"1085"	"125.983"	"7.56"	""	"0.946"	"0.967"	"1.004"	"0.812"	"0.722"	"0.442"	"0.151"	"0.111"	"0.088"	"59761.1"	"56521.8"	"57816.6"	"60014.1"	"48498.5"	"43171.8"	"26415.3"	"9005.4"	"6638.4"	"5273.8"	"114"	"114"	"114"	"114"	"114"	"114"	"114"	"114"	"114"	"114"	"71.948"	"1"	"10176.2474376845"	"61"
"False"	"IsMasterProtein"	"PF3D7_1036900"	"organism=Plasmodium_falciparum_3D7 | product=conserved Plasmodium protein, unknown function | location=Pf3D7_10_v3:1452599-1458006(-) | length=1681 | sequence_SO=chromosome | SO=protein_coding"	"35.6335514574658"	"52"	"501"	"52"	"1"	"1681"	"192.569"	"9.26"	""	"0.948"	"0.962"	"0.935"	"0.792"	"0.749"	"0.777"	"0.804"	"0.705"	"0.747"	"40049.4"	"37965.0"	"38531.8"	"37457.3"	"31709.7"	"30007.2"	"31125.9"	"32211.0"	"28245.0"	"29926.1"	"106"	"106"	"106"	"106"	"106"	"106"	"106"	"106"	"106"	"106"	"57.78"	"0"	"9157.17380656095"	"52"
"False"	"IsMasterProtein"	"PF3D7_0608800"	"organism=Plasmodium_falciparum_3D7 | product=ornithine aminotransferase (OAT) | location=Pf3D7_06_v3:362635-363879(+) | length=414 | sequence_SO=chromosome | SO=protein_coding"	"57.7294685990338"	"23"	"363"	"23"	"1"	"414"	"46.025"	"6.89"	""	"0.862"	"0.787"	"0.700"	"0.211"	"0.131"	"0.084"	"0.066"	"0.053"	"0.045"	"66803.4"	"57554.3"	"52605.0"	"46730.2"	"14074.9"	"8763.4"	"5601.5"	"4417.2"	"3535.0"	"3027.5"	"42"	"42"	"42"	"42"	"42"	"42"	"42"	"42"	"42"	"42"	"50.795"	"0"	"9115.38949536204"	"23"
