"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Modifications"	"Abundance Ratio: (127N, Quinine37) / (126, Quinine37)"	"Abundance Ratio: (127C, Quinine37) / (126, Quinine37)"	"Abundance Ratio: (128N, Quinine37) / (126, Quinine37)"	"Abundance Ratio: (128C, Quinine37) / (126, Quinine37)"	"Abundance Ratio: (129N, Quinine37) / (126, Quinine37)"	"Abundance Ratio: (129C, Quinine37) / (126, Quinine37)"	"Abundance Ratio: (130N, Quinine37) / (126, Quinine37)"	"Abundance Ratio: (130C, Quinine37) / (126, Quinine37)"	"Abundance Ratio: (131, Quinine37) / (126, Quinine37)"	"Abundance: F9: 126, Sample, Quinine37"	"Abundance: F9: 127N, Sample, Quinine37"	"Abundance: F9: 127C, Sample, Quinine37"	"Abundance: F9: 128N, Sample, Quinine37"	"Abundance: F9: 128C, Sample, Quinine37"	"Abundance: F9: 129N, Sample, Quinine37"	"Abundance: F9: 129C, Sample, Quinine37"	"Abundance: F9: 130N, Sample, Quinine37"	"Abundance: F9: 130C, Sample, Quinine37"	"Abundance: F9: 131, Sample, Quinine37"	"Abundances Count: F9: 126, Sample, Quinine37"	"Abundances Count: F9: 127N, Sample, Quinine37"	"Abundances Count: F9: 127C, Sample, Quinine37"	"Abundances Count: F9: 128N, Sample, Quinine37"	"Abundances Count: F9: 128C, Sample, Quinine37"	"Abundances Count: F9: 129N, Sample, Quinine37"	"Abundances Count: F9: 129C, Sample, Quinine37"	"Abundances Count: F9: 130N, Sample, Quinine37"	"Abundances Count: F9: 130C, Sample, Quinine37"	"Abundances Count: F9: 131, Sample, Quinine37"	"emPAI"	"# Razor Peptides"	"Score Mascot"	"# Peptides Mascot"
"False"	"IsMasterProtein"	"PF3D7_1015900"	"organism=Plasmodium_falciparum_3D7 | product=enolase (ENO) | location=Pf3D7_10_v3:637138-639011(+) | length=446 | sequence_SO=chromosome | SO=protein_coding"	"79.8206278026906"	"32"	"829"	"30"	"1"	"446"	"48.647"	"6.6"	""	"0.969"	"1.263"	"1.231"	"1.161"	"1.139"	"1.166"	"1.204"	"0.936"	"1.075"	"52266.5"	"50647.6"	"66027.7"	"64329.1"	"60663.2"	"59544.2"	"60919.8"	"62951.6"	"48898.3"	"56175.7"	"74"	"74"	"74"	"74"	"74"	"74"	"74"	"74"	"74"	"74"	"99999"	"2"	"17261.0944410821"	"32"
"False"	"IsMasterProtein"	"PF3D7_1311800"	"organism=Plasmodium_falciparum_3D7 | product=M1-family alanyl aminopeptidase (M1AAP) | location=Pf3D7_13_v3:501790-505047(+) | length=1085 | sequence_SO=chromosome | SO=protein_coding"	"74.3778801843318"	"72"	"919"	"72"	"1"	"1085"	"125.983"	"7.56"	""	"0.922"	"1.226"	"1.182"	"1.146"	"1.091"	"1.144"	"1.161"	"0.841"	"1.023"	"51286.2"	"47273.6"	"62901.4"	"60598.6"	"58768.9"	"55959.3"	"58664.2"	"59552.3"	"43130.0"	"52451.6"	"150"	"150"	"150"	"150"	"150"	"150"	"150"	"150"	"150"	"150"	"4544.004"	"0"	"16062.000395854"	"72"
"False"	"IsMasterProtein"	"PF3D7_1462800"	"organism=Plasmodium_falciparum_3D7 | product=glyceraldehyde-3-phosphate dehydrogenase (GAPDH) | location=Pf3D7_14_v3:2559098-2560347(+) | length=337 | sequence_SO=chromosome | SO=protein_coding"	"86.3501483679525"	"28"	"783"	"27"	"1"	"337"	"36.612"	"7.69"	""	"0.894"	"1.176"	"1.445"	"1.163"	"1.077"	"1.266"	"1.202"	"0.717"	"0.996"	"47293.6"	"42295.7"	"55628.4"	"68322.1"	"55008.9"	"50942.3"	"59850.7"	"56853.6"	"33928.0"	"47112.2"	"57"	"57"	"57"	"57"	"57"	"57"	"57"	"57"	"57"	"57"	"38985.037"	"2"	"15167.3656517292"	"28"
"False"	"IsMasterProtein"	"PF3D7_0608800"	"organism=Plasmodium_falciparum_3D7 | product=ornithine aminotransferase (OAT) | location=Pf3D7_06_v3:362635-363879(+) | length=414 | sequence_SO=chromosome | SO=protein_coding"	"73.4299516908213"	"29"	"728"	"29"	"1"	"414"	"46.025"	"6.89"	""	"0.959"	"1.234"	"1.197"	"1.150"	"1.128"	"1.128"	"1.186"	"0.939"	"1.053"	"40332.1"	"38665.8"	"49762.1"	"48277.5"	"46384.4"	"45500.0"	"45476.1"	"47850.0"	"37880.1"	"42486.8"	"64"	"64"	"64"	"64"	"64"	"64"	"64"	"64"	"64"	"64"	"17781.794"	"0"	"15006.7287031462"	"29"
"False"	"IsMasterProtein"	"PF3D7_0922500"	"organism=Plasmodium_falciparum_3D7 | product=phosphoglycerate kinase (PGK) | location=Pf3D7_09_v3:913230-914480(+) | length=416 | sequence_SO=chromosome | SO=protein_coding"	"79.5673076923077"	"31"	"452"	"31"	"1"	"416"	"45.398"	"7.83"	""	"0.903"	"1.191"	"1.423"	"1.159"	"1.081"	"1.256"	"1.176"	"0.655"	"1.005"	"34436.0"	"31087.6"	"41008.1"	"48994.5"	"39928.0"	"37219.1"	"43252.8"	"40504.0"	"22561.5"	"34603.5"	"61"	"61"	"61"	"61"	"61"	"61"	"61"	"61"	"61"	"61"	"7355.423"	"0"	"9534.16967063544"	"31"
"False"	"IsMasterProtein"	"PF3D7_1029600"	"organism=Plasmodium_falciparum_3D7 | product=adenosine deaminase (ADA) | location=Pf3D7_10_v3:1206302-1207405(+) | length=367 | sequence_SO=chromosome | SO=protein_coding"	"59.6730245231608"	"20"	"519"	"20"	"1"	"367"	"42.438"	"5.69"	""	"0.947"	"1.230"	"1.211"	"1.150"	"1.105"	"1.150"	"1.176"	"0.952"	"1.019"	"45122.9"	"42740.1"	"55479.1"	"54660.1"	"51897.7"	"49856.2"	"51874.1"	"53074.9"	"42936.6"	"45985.4"	"43"	"43"	"43"	"43"	"43"	"43"	"43"	"43"	"43"	"43"	"2609.157"	"0"	"9350.1139922055"	"20"
"False"	"IsMasterProtein"	"PF3D7_0818200"	"organism=Plasmodium_falciparum_3D7 | product=14-3-3 protein (14-3-3I) | location=Pf3D7_08_v3:830006-831454(+) | length=262 | sequence_SO=chromosome | SO=protein_coding"	"69.8473282442748"	"21"	"459"	"18"	"1"	"262"	"30.174"	"4.92"	""	"0.959"	"1.247"	"1.243"	"1.156"	"1.120"	"1.172"	"1.166"	"0.879"	"1.007"	"25961.8"	"24886.2"	"32379.8"	"32272.5"	"30021.3"	"29073.1"	"30416.3"	"30270.4"	"22817.1"	"26143.0"	"46"	"46"	"46"	"46"	"46"	"46"	"46"	"46"	"46"	"46"	"14124.375"	"7"	"9192.47681201204"	"21"
"False"	"IsMasterProtein"	"PF3D7_1149000"	"organism=Plasmodium_falciparum_3D7 | product=antigen 332, DBL-like protein (Pf332) | location=Pf3D7_11_v3:1950210-1968726(+) | length=6093 | sequence_SO=chromosome | SO=protein_coding"	"36.6650254390284"	"168"	"388"	"168"	"1"	"6093"	"688.87"	"3.89"	""	"0.922"	"1.226"	"1.243"	"1.153"	"1.119"	"1.163"	"1.122"	"0.882"	"0.979"	"22197.7"	"20466.4"	"27217.3"	"27590.1"	"25597.2"	"24848.0"	"25812.1"	"24909.6"	"19576.1"	"21731.5"	"199"	"199"	"199"	"199"	"199"	"199"	"199"	"199"	"199"	"199"	"9.525"	"0"	"8471.01652561413"	"168"
"False"	"IsMasterProtein"	"PF3D7_0917900"	"organism=Plasmodium_falciparum_3D7 | product=heat shock protein 70 (HSP70-2) | location=Pf3D7_09_v3:737985-740276(+) | length=652 | sequence_SO=chromosome | SO=protein_coding"	"54.4478527607362"	"35"	"415"	"34"	"1"	"652"	"72.343"	"5.31"	""	"0.971"	"1.181"	"1.652"	"1.057"	"1.069"	"1.253"	"1.136"	"0.616"	"1.131"	"25287.4"	"24564.9"	"29868.4"	"41764.8"	"26725.8"	"27022.2"	"31680.3"	"28734.8"	"15576.4"	"28596.3"	"68"	"68"	"68"	"68"	"68"	"68"	"68"	"68"	"68"	"68"	"788.652"	"2"	"7873.3475532002"	"35"
"False"	"IsMasterProtein"	"PF3D7_0708400"	"organism=Plasmodium_falciparum_3D7 | product=heat shock protein 90 (HSP90) | location=Pf3D7_07_v3:381592-384614(+) | length=745 | sequence_SO=chromosome | SO=protein_coding"	"53.8255033557047"	"38"	"346"	"34"	"1"	"745"	"86.112"	"5.01"	"Acetyl [N-Term]"	"0.938"	"1.173"	"1.584"	"1.154"	"1.138"	"1.301"	"1.144"	"0.758"	"0.950"	"23854.2"	"22378.7"	"27990.3"	"37785.5"	"27535.9"	"27147.9"	"31040.9"	"27280.1"	"18078.2"	"22655.1"	"71"	"71"	"71"	"71"	"71"	"71"	"71"	"71"	"71"	"71"	"331.46"	"7"	"7714.54439773282"	"38"
