id	description	condition	37	40	43	46	49	52	55	58	61	64	sumUniPeps	sumPSMs	countNum
P00338-3	Isoform 3 of L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA	Ctrl.1	1	0.9394606448759563	0.967584657750473	0.8792255815198508	0.7989365254987675	0.6568582533923274	0.4943035062470328	0.37291400022357957	0.20072743087383646	0.10783904147652705	20	694	37
P00352	Retinal dehydrogenase 1 OS=Homo sapiens GN=ALDH1A1 PE=1 SV=2	Ctrl.1	1	1.0207992288479004	1.0122570338941588	0.9751410995038344	0.8386846113444771	0.6940974614586641	0.5341374884354383	0.48812320354468547	0.4423992630701968	0.3903773301450279	17	83	22
P00367	Glutamate dehydrogenase 1, mitochondrial OS=Homo sapiens GN=GLUD1 PE=1 SV=2	Ctrl.1	1	0.9292933218794633	0.9096056163724976	0.8342651824648584	0.7164592473689194	0.49962604155668366	0.2118443598201569	0.08590159896749124	0.06391321182052503	0.06254664405638569	5	83	23
P00374	Dihydrofolate reductase OS=Homo sapiens GN=DHFR PE=1 SV=2	Ctrl.1	1	0.5551358356085196	0.22146092854210236	0.10890407771098151	0.065584341645421207	0.04137689785148519	0.026254215533267306	0.018190926840174614	0.013981015085739852	0.010783904147652705	9	20	9
P00387-3	Isoform 3 of NADH-cytochrome b5 reductase 3 OS=Homo sapiens GN=CYB5R3	Ctrl.1	1	0.9862303306598241	0.8839427619920824	0.7623285439768707	0.5495172868169382	0.2720531033735151	0.14756679765250244	0.11419859627442952	0.080890158710352	0.06470342488591622	3	10	3
P00390	Glutathione reductase, mitochondrial OS=Homo sapiens GN=GSR PE=1 SV=2	Ctrl.1	1	1.0452008040394838	1.0170094143349766	0.9921261391468316	0.878432697190187	0.7458185837730205	0.5966044150490744	0.533600520645122	0.30159046827810254	0.1024470894027007	3	131	23
P00390-5	Isoform 4 of Glutathione reductase, mitochondrial OS=Homo sapiens GN=GSR	Ctrl.1	1	1.0452008040394838	1.0407713165390649	1.037086538201824	1.034443934134598	1.0064930402373773	0.762277568241761	0.701361290393399	0.3555172407516705	0.19950222673157503	1	110	1
P00441	Superoxide dismutase [Cu-Zn] OS=Homo sapiens GN=SOD1 PE=1 SV=2	Ctrl.1	1	0.9943641890570186	0.9428722794582212	0.9371745403018409	0.8843949100670435	0.7789201020542087	0.6491128461156088	0.7114673608601626	0.7000493982216882	0.6944834271088342	14	201	17
P00480	Ornithine carbamoyltransferase, mitochondrial OS=Homo sapiens GN=OTC PE=1 SV=3	Ctrl.1	1	0.9567450939699944	0.9077046641961707	0.9171921407218444	0.9291115066434671	0.7944364387485158	0.49158755291600514	0.11824102446113499	0.06990507542869927	0.06362503447115096	1	4	1
P00491	Purine nucleoside phosphorylase OS=Homo sapiens GN=PNP PE=1 SV=2	Ctrl.1	1	1.0106319058514075	0.9932475121308882	0.9511622200078386	0.866508271436474	0.7634037653599018	0.6210479950283232	0.6568945803396389	0.5822094139275952	0.4755701729114843	18	153	28
P00492	Hypoxanthine-guanine phosphoribosyltransferase OS=Homo sapiens GN=HPRT1 PE=1 SV=2	Ctrl.1	1	0.9862303306598241	0.9751884664557813	0.9121965408268452	0.8625334628519031	0.7292678246324265	0.6400596683455166	0.629608190079377	0.6071755122949878	0.5844876048027766	10	75	16
P00505	Aspartate aminotransferase, mitochondrial OS=Homo sapiens GN=GOT2 PE=1 SV=3	Ctrl.1	1	1.0024980474542131	0.967584657750473	0.8872185413518494	0.7939680147680537	0.662030365623763	0.5278002639963737	0.5113671656182419	0.4893355280008948	0.4399832892242303	20	202	32
