"Checked"	"Protein FDR Confidence"	"Master"	"Accession"	"Description"	"Exp. q-value"	"Sum PEP Score"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Found in Sample: [S1] F1: 126, Control, drug"	"Found in Sample: [S2] F1: 127N, Sample, drug"	"Found in Sample: [S3] F1: 127C, Sample, drug"	"Found in Sample: [S4] F1: 128N, Sample, drug"	"Found in Sample: [S5] F1: 128C, Sample, drug"	"Found in Sample: [S6] F1: 129N, Sample, drug"	"Found in Sample: [S7] F1: 129C, Sample, drug"	"Found in Sample: [S8] F1: 130N, Sample, drug"	"Found in Sample: [S9] F1: 130C, Sample, drug"	"Found in Sample: [S10] F1: 131, Sample, drug"	"Modifications"	"Area: 126, drug"	"Area: 127N, drug"	"Area: 127C, drug"	"Area: 128N, drug"	"Area: 128C, drug"	"Area: 129N, drug"	"Area: 129C, drug"	"Area: 130N, drug"	"Area: 130C, drug"	"Area: 131, drug"	"Abundance Ratio: (127N, drug) / (126, drug)"	"Abundance Ratio: (127C, drug) / (126, drug)"	"Abundance Ratio: (128N, drug) / (126, drug)"	"Abundance Ratio: (128C, drug) / (126, drug)"	"Abundance Ratio: (129N, drug) / (126, drug)"	"Abundance Ratio: (129C, drug) / (126, drug)"	"Abundance Ratio: (130N, drug) / (126, drug)"	"Abundance Ratio: (130C, drug) / (126, drug)"	"Abundance Ratio: (131, drug) / (126, drug)"	"Abundance: F1: 126, Control, drug"	"Abundance: F1: 127N, Sample, drug"	"Abundance: F1: 127C, Sample, drug"	"Abundance: F1: 128N, Sample, drug"	"Abundance: F1: 128C, Sample, drug"	"Abundance: F1: 129N, Sample, drug"	"Abundance: F1: 129C, Sample, drug"	"Abundance: F1: 130N, Sample, drug"	"Abundance: F1: 130C, Sample, drug"	"Abundance: F1: 131, Sample, drug"	"Abundances Count: F1: 126, Control, drug"	"Abundances Count: F1: 127N, Sample, drug"	"Abundances Count: F1: 127C, Sample, drug"	"Abundances Count: F1: 128N, Sample, drug"	"Abundances Count: F1: 128C, Sample, drug"	"Abundances Count: F1: 129N, Sample, drug"	"Abundances Count: F1: 129C, Sample, drug"	"Abundances Count: F1: 130N, Sample, drug"	"Abundances Count: F1: 130C, Sample, drug"	"Abundances Count: F1: 131, Sample, drug"	"emPAI"	"# Razor Peptides"	"Score Sequest HT"	"# Peptides Sequest HT"
"False"	"High"	"IsMasterProtein"	"Q9Y490"	"Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3"	"0"	"1223.71026424887"	"54.388036206218"	"88"	"235"	"81"	"1"	"2541"	"269.599"	"6.07"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.4e8"	"2.2e8"	"2.8e8"	"2.8e8"	"2.4e8"	"2.5e8"	"2.5e8"	"2.4e8"	"2.5e8"	"2.1e8"	"1.995"	"3.135"	"3.141"	"2.600"	"2.846"	"2.786"	"2.565"	"2.681"	"2.412"	"10011.1"	"19968.6"	"31385.7"	"31443.2"	"26025.0"	"28491.8"	"27886.9"	"25677.6"	"26844.1"	"24142.7"	"123"	"123"	"123"	"123"	"123"	"123"	"123"	"123"	"123"	"123"	"12.19"	"8"	"1005.86412334442"	"88"
"False"	"High"	"IsMasterProtein"	"Q14204"	"Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5"	"0"	"880.222649615581"	"32.0275505811451"	"122"	"199"	"122"	"1"	"4646"	"532.072"	"6.4"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.8e8"	"2.7e8"	"3.3e8"	"3.2e8"	"2.7e8"	"3.2e8"	"3.1e8"	"3.1e8"	"2.9e8"	"2.5e8"	"2.109"	"3.118"	"3.296"	"2.785"	"3.104"	"3.073"	"2.837"	"2.957"	"2.596"	"9011.6"	"19009.7"	"28100.3"	"29699.0"	"25097.7"	"27974.2"	"27691.0"	"25567.4"	"26643.7"	"23397.5"	"139"	"139"	"139"	"139"	"139"	"139"	"139"	"139"	"139"	"139"	"3.171"	"0"	"776.611877679825"	"122"
"False"	"High"	"IsMasterProtein"	"P21333"	"Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4"	"0"	"821.5206588051"	"47.7143936531923"	"97"	"184"	"88"	"1"	"2647"	"280.564"	"6.06"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.6e8"	"3.4e8"	"5.9e8"	"5.4e8"	"4.8e8"	"4.9e8"	"5.0e8"	"4.6e8"	"4.7e8"	"3.9e8"	"2.183"	"3.235"	"3.220"	"2.662"	"2.998"	"2.959"	"2.769"	"2.840"	"2.474"	"8952.9"	"19540.9"	"28962.1"	"28828.5"	"23835.7"	"26836.5"	"26495.0"	"24789.5"	"25426.5"	"22148.7"	"107"	"107"	"107"	"107"	"107"	"107"	"107"	"107"	"107"	"107"	"8.271"	"9"	"767.328192234039"	"97"
"False"	"High"	"IsMasterProtein"	"P06733"	"Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2"	"0"	"801.488032359468"	"78.110599078341"	"33"	"739"	"30"	"1"	"434"	"47.139"	"7.39"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"4.8e9"	"1.1e10"	"1.6e10"	"1.5e10"	"1.2e10"	"1.6e10"	"1.5e10"	"1.5e10"	"1.5e10"	"1.3e10"	"2.049"	"2.932"	"3.326"	"2.849"	"3.270"	"3.338"	"3.033"	"3.200"	"2.657"	"32761.9"	"67123.7"	"96062.6"	"108963.4"	"93348.8"	"107141.6"	"109357.5"	"99367.9"	"104823.1"	"87040.4"	"62"	"62"	"62"	"62"	"62"	"62"	"62"	"62"	"62"	"62"	"23949.266"	"6"	"3251.80200743675"	"33"
"False"	"High"	"IsMasterProtein"	"P18206"	"Vinculin OS=Homo sapiens GN=VCL PE=1 SV=4"	"0"	"798.90987721765"	"67.9012345679012"	"66"	"294"	"66"	"1"	"1134"	"123.722"	"5.66"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.0e9"	"1.6e9"	"2.0e9"	"2.2e9"	"1.8e9"	"2.0e9"	"2.1e9"	"1.9e9"	"1.9e9"	"1.6e9"	"1.957"	"2.708"	"2.838"	"2.555"	"2.871"	"2.936"	"2.742"	"2.805"	"2.399"	"12307.9"	"24082.3"	"33326.2"	"34931.6"	"31447.9"	"35334.0"	"36136.1"	"33748.9"	"34520.4"	"29527.8"	"106"	"106"	"106"	"106"	"106"	"106"	"106"	"106"	"106"	"106"	"77.137"	"0"	"1053.80383348465"	"66"
"False"	"High"	"IsMasterProtein"	"Q09666"	"Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2"	"0"	"737.721419282177"	"40.5263157894737"	"123"	"190"	"123"	"1"	"5890"	"628.699"	"6.15"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.1e8"	"2.2e8"	"3.2e8"	"3.2e8"	"2.7e8"	"3.1e8"	"3.2e8"	"2.9e8"	"2.6e8"	"2.1e8"	"2.033"	"2.980"	"3.105"	"2.662"	"3.092"	"3.076"	"2.879"	"2.909"	"2.351"	"10136.3"	"20604.3"	"30208.0"	"31469.3"	"26980.7"	"31346.5"	"31180.8"	"29181.9"	"29481.8"	"23827.6"	"138"	"138"	"138"	"138"	"138"	"138"	"138"	"138"	"138"	"138"	"1.438"	"0"	"666.123776435852"	"123"
"False"	"High"	"IsMasterProtein"	"O75369-8"	"Isoform 8 of Filamin-B OS=Homo sapiens GN=FLNB"	"0"	"704.830606448616"	"45.9172047094569"	"90"	"148"	"81"	"1"	"2633"	"281.459"	"5.71"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"1.3e8"	"2.6e8"	"4.0e8"	"4.0e8"	"3.3e8"	"3.9e8"	"4.0e8"	"3.7e8"	"3.4e8"	"2.7e8"	"2.082"	"2.873"	"2.906"	"2.390"	"2.794"	"2.745"	"2.612"	"2.649"	"2.258"	"7115.4"	"14815.2"	"20441.1"	"20677.0"	"17003.7"	"19883.4"	"19533.6"	"18588.6"	"18850.8"	"16064.1"	"94"	"94"	"94"	"94"	"94"	"94"	"94"	"94"	"94"	"94"	"5.747"	"3"	"607.64256811142"	"90"
"False"	"High"	"IsMasterProtein"	"P11142"	"Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1"	"0"	"656.454421886515"	"60.9907120743034"	"39"	"353"	"29"	"1"	"646"	"70.854"	"5.52"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"3.1e9"	"4.8e9"	"6.8e9"	"6.9e9"	"5.5e9"	"6.1e9"	"6.7e9"	"6.2e9"	"6.0e9"	"4.5e9"	"1.940"	"2.622"	"2.753"	"2.269"	"2.634"	"2.611"	"2.472"	"2.513"	"2.203"	"18655.4"	"36187.8"	"48911.0"	"51365.4"	"42338.0"	"49130.6"	"48717.6"	"46110.4"	"46889.0"	"41103.2"	"81"	"81"	"81"	"81"	"81"	"81"	"81"	"81"	"81"	"81"	"2727.333"	"19"	"1346.2452442646"	"39"
"False"	"High"	"IsMasterProtein"	"P55072"	"Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4"	"0"	"638.525918660954"	"71.4640198511166"	"48"	"176"	"48"	"1"	"806"	"89.266"	"5.26"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"3.9e8"	"9.5e8"	"1.1e9"	"1.1e9"	"8.1e8"	"1.2e9"	"1.0e9"	"1.1e9"	"1.1e9"	"8.6e8"	"1.972"	"2.671"	"3.011"	"2.573"	"2.968"	"3.009"	"2.765"	"2.887"	"2.365"	"8397.5"	"16557.0"	"22432.0"	"25288.5"	"21609.7"	"24925.3"	"25271.0"	"23220.9"	"24247.5"	"19858.9"	"72"	"72"	"72"	"72"	"72"	"72"	"72"	"72"	"72"	"72"	"225.03"	"0"	"748.928534984589"	"48"
"False"	"High"	"IsMasterProtein"	"P68371"	"Tubulin beta-4B chain OS=Homo sapiens GN=TUBB4B PE=1 SV=1"	"0"	"610.930220746838"	"71.0112359550562"	"28"	"327"	"1"	"1"	"445"	"49.799"	"4.89"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""	"7.5e7"	"1.8e8"	"2.3e8"	"2.1e8"	"1.5e8"	"1.9e8"	"1.9e8"	"2.0e8"	"1.7e8"	"1.5e8"	"2.120"	"2.780"	"2.929"	"2.473"	"2.893"	"2.835"	"2.719"	"2.797"	"2.427"	"12888.5"	"27324.8"	"35824.6"	"37747.4"	"31879.0"	"37288.3"	"36540.3"	"35042.2"	"36044.3"	"31283.6"	"62"	"62"	"62"	"62"	"62"	"62"	"62"	"62"	"62"	"62"	"67000.875"	"60"	"1228.81868624687"	"28"
