id	description	condition	20	5	1.25	0.3123	0.078125	0.019531	0.004883	0.001221	0.000305	0	Abundance_20	Abundance_5	Abundance_1.25	Abundance_0.3123	Abundance_0.078125	Abundance_0.019531	Abundance_0.004883	Abundance_0.001221	Abundance_0.000305	Abundance_0	sumUniPeps	sumPSMs	countNum
A6NNZ2	Tubulin beta-8 chain-like protein LOC260334 OS=Homo sapiens PE=1 SV=1	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	97	NA
P06753-5	Isoform 5 of Tropomyosin alpha-3 chain OS=Homo sapiens GN=TPM3	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	51	NA
Q9Y4G6	Talin-2 OS=Homo sapiens GN=TLN2 PE=1 SV=4	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	11	NA
Q9H074	Polyadenylate-binding protein-interacting protein 1 OS=Homo sapiens GN=PAIP1 PE=1 SV=1	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	8	NA
Q58FG1	Putative heat shock protein HSP 90-alpha A4 OS=Homo sapiens GN=HSP90AA4P PE=5 SV=1	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	24	NA
Q9H0B6	Kinesin light chain 2 OS=Homo sapiens GN=KLC2 PE=1 SV=1	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	7	NA
Q9BTE6-3	Isoform 3 of Alanyl-tRNA editing protein Aarsd1 OS=Homo sapiens GN=AARSD1	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
Q9HCK5	Protein argonaute-4 OS=Homo sapiens GN=AGO4 PE=1 SV=2	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	NA
Q5T8P6	RNA-binding protein 26 OS=Homo sapiens GN=RBM26 PE=1 SV=3	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
Q92766-2	Isoform 2 of Ras-responsive element-binding protein 1 OS=Homo sapiens GN=RREB1	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
Q13555-6	Isoform 6 of Calcium/calmodulin-dependent protein kinase type II subunit gamma OS=Homo sapiens GN=CAMK2G	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
Q6KC79	Nipped-B-like protein OS=Homo sapiens GN=NIPBL PE=1 SV=2	drug.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
