"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Modifications"	"Abundance Ratio: (127N, Pyr) / (126, Pyr)"	"Abundance Ratio: (128N, Pyr) / (126, Pyr)"	"Abundance Ratio: (127C, Pyr) / (126, Pyr)"	"Abundance Ratio: (128C, Pyr) / (126, Pyr)"	"Abundance Ratio: (129N, Pyr) / (126, Pyr)"	"Abundance Ratio: (129C, Pyr) / (126, Pyr)"	"Abundance Ratio: (130N, Pyr) / (126, Pyr)"	"Abundance Ratio: (130C, Pyr) / (126, Pyr)"	"Abundance Ratio: (131, Pyr) / (126, Pyr)"	"Abundance: F4: 126, Sample, Pyr"	"Abundance: F4: 127N, Sample, Pyr"	"Abundance: F4: 127C, Sample, Pyr"	"Abundance: F4: 128N, Sample, Pyr"	"Abundance: F4: 128C, Sample, Pyr"	"Abundance: F4: 129N, Sample, Pyr"	"Abundance: F4: 129C, Sample, Pyr"	"Abundance: F4: 130N, Sample, Pyr"	"Abundance: F4: 130C, Sample, Pyr"	"Abundance: F4: 131, Sample, Pyr"	"Abundances Count: F4: 126, Sample, Pyr"	"Abundances Count: F4: 127N, Sample, Pyr"	"Abundances Count: F4: 127C, Sample, Pyr"	"Abundances Count: F4: 128N, Sample, Pyr"	"Abundances Count: F4: 128C, Sample, Pyr"	"Abundances Count: F4: 129N, Sample, Pyr"	"Abundances Count: F4: 129C, Sample, Pyr"	"Abundances Count: F4: 130N, Sample, Pyr"	"Abundances Count: F4: 130C, Sample, Pyr"	"Abundances Count: F4: 131, Sample, Pyr"	"emPAI"	"# Razor Peptides"	"Score Mascot"	"# Peptides Mascot"
"False"	"IsMasterProtein"	"PF3D7_1015900"	"organism=Plasmodium_falciparum_3D7 | product=enolase (ENO) | location=Pf3D7_10_v3:637138-639011(+) | length=446 | sequence_SO=chromosome | SO=protein_coding"	"62.3318385650224"	"25"	"669"	"23"	"1"	"446"	"48.647"	"6.6"	""	"1.108"	"1.137"	"1.036"	"0.889"	"0.858"	"0.860"	"0.901"	"0.745"	"0.547"	"40168.3"	"44513.3"	"41595.8"	"45685.4"	"35711.9"	"34477.0"	"34537.3"	"36197.5"	"29907.3"	"21965.1"	"51"	"51"	"51"	"51"	"51"	"51"	"51"	"51"	"51"	"51"	"428.866"	"3"	"15264.4306633413"	"25"
"False"	"IsMasterProtein"	"PF3D7_1444800"	"organism=Plasmodium_falciparum_3D7 | product=fructose-bisphosphate aldolase (FBPA) | location=Pf3D7_14_v3:1844041-1845617(-) | length=369 | sequence_SO=chromosome | SO=protein_coding"	"57.1815718157182"	"19"	"434"	"19"	"1"	"369"	"40.08"	"8.12"	"Acetyl [N-Term]"	"1.116"	"1.152"	"1.031"	"0.895"	"0.864"	"0.839"	"0.722"	"0.180"	"0.153"	"33842.6"	"37783.2"	"34906.8"	"38986.6"	"30288.2"	"29253.1"	"28408.8"	"24439.4"	"6077.3"	"5184.0"	"38"	"38"	"38"	"38"	"38"	"38"	"38"	"38"	"38"	"38"	"163.965"	"0"	"11724.7565696162"	"19"
"False"	"IsMasterProtein"	"PF3D7_1107300"	"organism=Plasmodium_falciparum_3D7 | product=polyadenylate-binding protein-interacting protein 1, putative (PAIP1) | location=Pf3D7_11_v3:301283-311287(-) | length=3334 | sequence_SO=chromosome | SO=protein_coding"	"36.9226154769046"	"109"	"755"	"109"	"1"	"3334"	"381.639"	"7.05"	"Acetyl [N-Term]"	"1.031"	"1.231"	"1.024"	"0.820"	"0.764"	"0.768"	"0.807"	"0.670"	"0.718"	"41193.8"	"42470.7"	"42186.0"	"50711.7"	"33779.8"	"31484.7"	"31655.7"	"33244.2"	"27616.5"	"29567.8"	"200"	"200"	"200"	"200"	"200"	"200"	"200"	"200"	"200"	"200"	"27.619"	"0"	"10123.2215518186"	"109"
"False"	"IsMasterProtein"	"PF3D7_1110400"	"organism=Plasmodium_falciparum_3D7 | product=asparagine-rich antigen | location=Pf3D7_11_v3:414797-419556(+) | length=1483 | sequence_SO=chromosome | SO=protein_coding"	"46.6621712744437"	"67"	"686"	"67"	"1"	"1483"	"173.819"	"9.17"	"Acetyl [N-Term]"	"1.033"	"1.163"	"1.030"	"0.872"	"0.834"	"0.835"	"0.852"	"0.729"	"0.758"	"38315.6"	"39574.1"	"39477.6"	"44580.0"	"33407.6"	"31970.3"	"31986.4"	"32650.6"	"27914.3"	"29037.8"	"162"	"162"	"162"	"162"	"162"	"162"	"162"	"162"	"162"	"162"	"263.05"	"0"	"9639.58452641666"	"67"
"False"	"IsMasterProtein"	"PF3D7_0626800"	"organism=Plasmodium_falciparum_3D7 | product=pyruvate kinase (PyrK) | location=Pf3D7_06_v3:1078995-1081320(+) | length=511 | sequence_SO=chromosome | SO=protein_coding"	"68.1017612524462"	"28"	"442"	"28"	"1"	"511"	"55.625"	"7.55"	""	"1.040"	"1.063"	"1.015"	"0.816"	"0.725"	"0.571"	"0.396"	"0.233"	"0.107"	"31746.0"	"33020.7"	"32236.1"	"33736.6"	"25890.0"	"23016.0"	"18141.1"	"12585.6"	"7394.2"	"3389.9"	"55"	"55"	"55"	"55"	"55"	"55"	"55"	"55"	"55"	"55"	"86.333"	"0"	"9182.55198312574"	"28"
"False"	"IsMasterProtein"	"PF3D7_0818900"	"organism=Plasmodium_falciparum_3D7 | product=heat shock protein 70 (HSP70) | location=Pf3D7_08_v3:860384-862417(+) | length=677 | sequence_SO=chromosome | SO=protein_coding"	"44.165435745938"	"30"	"457"	"22"	"1"	"677"	"73.868"	"5.67"	""	"1.039"	"0.283"	"0.639"	"0.153"	"0.128"	"0.116"	"0.117"	"0.095"	"0.081"	"59329.1"	"61646.6"	"37902.2"	"16772.2"	"9062.8"	"7572.4"	"6907.2"	"6959.2"	"5652.1"	"4803.0"	"56"	"56"	"56"	"56"	"56"	"56"	"56"	"56"	"56"	"56"	"56.029"	"16"	"8695.81924019869"	"30"
"False"	"IsMasterProtein"	"PF3D7_1036900"	"organism=Plasmodium_falciparum_3D7 | product=conserved Plasmodium protein, unknown function | location=Pf3D7_10_v3:1452599-1458006(-) | length=1681 | sequence_SO=chromosome | SO=protein_coding"	"34.7412254610351"	"50"	"525"	"50"	"1"	"1681"	"192.569"	"9.26"	""	"1.024"	"1.295"	"1.050"	"0.907"	"0.900"	"0.907"	"0.961"	"0.826"	"0.879"	"25697.1"	"26313.2"	"26981.6"	"33267.7"	"23316.5"	"23138.9"	"23307.2"	"24692.3"	"21214.6"	"22576.6"	"109"	"109"	"109"	"109"	"109"	"109"	"109"	"109"	"109"	"109"	"59.541"	"0"	"8677.12611912549"	"50"
"False"	"IsMasterProtein"	"PF3D7_0708400"	"organism=Plasmodium_falciparum_3D7 | product=heat shock protein 90 (HSP90) | location=Pf3D7_07_v3:381592-384614(+) | length=745 | sequence_SO=chromosome | SO=protein_coding"	"45.3691275167785"	"37"	"439"	"34"	"1"	"745"	"86.112"	"5.01"	"Acetyl [N-Term]"	"0.947"	"0.231"	"0.595"	"0.098"	"0.072"	"0.060"	"0.058"	"0.047"	"0.044"	"82916.8"	"78560.6"	"49326.3"	"19169.5"	"8123.1"	"5982.4"	"5013.0"	"4807.3"	"3908.7"	"3670.4"	"63"	"63"	"63"	"63"	"63"	"63"	"63"	"63"	"63"	"63"	"62.731"	"6"	"8630.45365355545"	"37"
"False"	"IsMasterProtein"	"PF3D7_1311800"	"organism=Plasmodium_falciparum_3D7 | product=M1-family alanyl aminopeptidase (M1AAP) | location=Pf3D7_13_v3:501790-505047(+) | length=1085 | sequence_SO=chromosome | SO=protein_coding"	"59.0783410138249"	"59"	"593"	"58"	"1"	"1085"	"125.983"	"7.56"	""	"1.059"	"1.262"	"1.067"	"0.918"	"0.822"	"0.487"	"0.161"	"0.115"	"0.092"	"34219.3"	"36236.7"	"36507.0"	"43172.1"	"31405.1"	"28118.4"	"16675.8"	"5504.1"	"3950.2"	"3154.8"	"106"	"106"	"106"	"106"	"106"	"106"	"106"	"106"	"106"	"106"	"69.683"	"1"	"8518.1506691802"	"59"
"False"	"IsMasterProtein"	"PF3D7_1149000"	"organism=Plasmodium_falciparum_3D7 | product=antigen 332, DBL-like protein (Pf332) | location=Pf3D7_11_v3:1950210-1968726(+) | length=6093 | sequence_SO=chromosome | SO=protein_coding"	"29.0661414738224"	"136"	"284"	"136"	"1"	"6093"	"688.87"	"3.89"	""	"0.990"	"0.917"	"1.007"	"0.371"	"0.326"	"0.303"	"0.301"	"0.254"	"0.237"	"32431.7"	"32121.7"	"32657.2"	"29738.5"	"12031.1"	"10582.0"	"9830.2"	"9747.3"	"8227.8"	"7685.7"	"152"	"152"	"152"	"152"	"152"	"152"	"152"	"152"	"152"	"152"	"3.602"	"0"	"7497.42408478525"	"136"
