Checked	Master	Accession	Description	Coverage	# Peptides	# PSMs	# Unique Peptides	# Protein Groups	# AAs	MW [kDa]	calc. pI	Modifications	Entrez Gene ID	Ensembl Gene ID	Gene ID	Chromosome	Biological Process	Cellular Component	Molecular Function	Pfam IDs	"Abundance Ratio: (127_N, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (127_C, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (128_N, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (128_C, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (129_N, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (129_C, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (130_N, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (130_C, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance Ratio: (131, Treatment_rep2) / (126, Treatment_rep2)"	"Abundance: F1: 126, Sample, Treatment_rep2"	"Abundance: F1: 127_N, Sample, Treatment_rep2"	"Abundance: F1: 127_C, Sample, Treatment_rep2"	"Abundance: F1: 128_N, Sample, Treatment_rep2"	"Abundance: F1: 128_C, Sample, Treatment_rep2"	"Abundance: F1: 129_N, Sample, Treatment_rep2"	"Abundance: F1: 129_C, Sample, Treatment_rep2"	"Abundance: F1: 130_N, Sample, Treatment_rep2"	"Abundance: F1: 130_C, Sample, Treatment_rep2"	"Abundance: F1: 131, Sample, Treatment_rep2"	"Abundances Count: F1: 126, Sample, Treatment_rep2"	"Abundances Count: F1: 127_N, Sample, Treatment_rep2"	"Abundances Count: F1: 127_C, Sample, Treatment_rep2"	"Abundances Count: F1: 128_N, Sample, Treatment_rep2"	"Abundances Count: F1: 128_C, Sample, Treatment_rep2"	"Abundances Count: F1: 129_N, Sample, Treatment_rep2"	"Abundances Count: F1: 129_C, Sample, Treatment_rep2"	"Abundances Count: F1: 130_N, Sample, Treatment_rep2"	"Abundances Count: F1: 130_C, Sample, Treatment_rep2"	"Abundances Count: F1: 131, Sample, Treatment_rep2"	emPAI	# Razor Peptides	Score Sequest HT	# Peptides Sequest HT	Score Mascot	# Peptides Mascot
FALSE	IsMasterProtein	P00167	Cytochrome b5 OS=Homo sapiens GN=CYB5A PE=1 SV=2	10.44776119	1	2	1	1	134	15.321	4.96		1528	ENSG00000166347	CYB5A	18	metabolic process;response to stimulus;transport	cytoplasm;endoplasmic reticulum;membrane;mitochondrion	catalytic activity;metal ion binding;protein binding;transporter activity	Pf00173	1.028	1.034	0.855	0.722	0.607	0.564	0.443	0.418	0.344	110.7	113.8	114.5	94.6	79.9	67.2	62.4	49	46.3	38.1	1	1	1	1	1	1	1	1	1	1	0.292	0	4.378921032	1	30.89	1
FALSE	IsMasterProtein	P00338-3	Isoform 3 of L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA	59.27977839	22	631	16	1	361	39.812	8.43		3939	ENSG00000134333	LDHA	11	cell communication;metabolic process;regulation of biological process;response to stimulus	cytosol;membrane;mitochondrion;nucleus	catalytic activity;nucleotide binding;protein binding	"Pf00056, Pf02866"	1.004	1.107	1.016	0.873	0.729	0.684	0.39	0.195	0.089	74535.7	74842.7	82480.8	75730.8	65104.8	54355.2	50953.8	29048.5	14570.7	6662	37	37	37	37	37	37	37	37	37	37	33.333	10	1145.130074	22	6068.687591	17
FALSE	IsMasterProtein	P00352	Retinal dehydrogenase 1 OS=Homo sapiens GN=ALDH1A1 PE=1 SV=2	49.30139721	21	77	19	1	501	54.827	6.73		216	ENSG00000165092	ALDH1A1	9	metabolic process;regulation of biological process	cytoplasm;cytosol	catalytic activity;enzyme regulator activity	"Pf00171, Pf05893, Pf07368"	0.958	1.025	0.948	0.849	0.666	0.615	0.483	0.438	0.349	8185.3	7843.1	8392.2	7762.5	6945.9	5452.6	5031.6	3951.1	3581.6	2853.9	24	24	24	24	24	24	24	24	24	24	8.183	1	155.5758845	20	1040.169591	21
FALSE	IsMasterProtein	P00367	"Glutamate dehydrogenase 1, mitochondrial OS=Homo sapiens GN=GLUD1 PE=1 SV=2"	40.68100358	23	93	6	1	558	61.359	7.8		2746	ENSG00000148672	GLUD1	10	metabolic process;regulation of biological process	cytoplasm;mitochondrion;organelle lumen	catalytic activity;nucleotide binding;protein binding	"Pf00208, Pf02812"	0.948	1	0.861	0.494	0.22	0.085	0.052	0.039	0.041	18634.4	17658.2	18633	16049.4	9211.7	4100	1592	964	725.8	768.7	24	24	24	24	24	24	24	24	24	24	4.623	17	192.7563131	23	1179.167184	21
FALSE	IsMasterProtein	P00374	Dihydrofolate reductase OS=Homo sapiens GN=DHFR PE=1 SV=2	56.14973262	10	21	10	1	187	21.439	7.42		1719; 573971	ENSG00000228716	DHFR; DHFRP1	5; 18	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	cytosol	catalytic activity;nucleotide binding;RNA binding	Pf00186	0.682	0.393	0.252	0.163	0.111	0.071	0.043	0.036	0.025	6509.9	4436.7	2555.4	1639.9	1063.9	720.1	459.1	283	234.4	162.8	8	8	8	8	8	8	8	8	8	8	4.179	0	35.40742564	10	173.998695	9
FALSE	IsMasterProtein	P00387-3	Isoform 3 of NADH-cytochrome b5 reductase 3 OS=Homo sapiens GN=CYB5R3	3.892215569	1	4	1	1	334	38.202	6.9		1727	ENSG00000100243	CYB5R3	22	metabolic process	cytoplasm;endoplasmic reticulum;membrane;mitochondrion	catalytic activity;nucleotide binding	"Pf00175, Pf00970, Pf08030"	0.96	0.869	0.804	0.538	0.217	0.093	0.06	0.038	0.03	992.7	953	863	798.5	534.5	215.8	92.5	59.2	38.2	29.7	1	1	1	1	1	1	1	1	1	1	0.122	0	8.514062643	1	81.38	1
FALSE	IsMasterProtein	P00390	"Glutathione reductase, mitochondrial OS=Homo sapiens GN=GSR PE=1 SV=2"	37.54789272	16	108	3	1	522	56.221	8.5		2936	ENSG00000104687	GSR	8	cellular homeostasis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;mitochondrion;organelle lumen	antioxidant activity;catalytic activity;nucleotide binding	"Pf00070, Pf02852, Pf07992, Pf13738"	0.995	1.034	1.012	0.866	0.691	0.624	0.482	0.261	0.101	12966.9	12901.9	13401.9	13116.6	11228.4	8956.9	8094.2	6249.2	3389.6	1311.9	22	22	22	22	22	22	22	22	22	22	5.723	16	206.6090719	16	1095.645803	14
FALSE	IsMasterProtein	P00390-5	"Isoform 4 of Glutathione reductase, mitochondrial OS=Homo sapiens GN=GSR"	35.45454545	14	83	1	1	440	47.237	8.75		2936	ENSG00000104687	GSR	8	cellular homeostasis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;organelle lumen	antioxidant activity;catalytic activity;nucleotide binding	"Pf00070, Pf02852, Pf07992, Pf13738"																														4.248	0	156.0552212	14	761.9326794	11
FALSE	IsMasterProtein	P00441	Superoxide dismutase [Cu-Zn] OS=Homo sapiens GN=SOD1 PE=1 SV=2	71.42857143	15	201	15	1	154	15.926	6.13		6647	ENSG00000142168	SOD1	21	cell death;cell organization and biogenesis;cellular component movement;cellular homeostasis;coagulation;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;cytosol;extracellular;membrane;mitochondrion;nucleus;organelle lumen;vacuole	antioxidant activity;catalytic activity;metal ion binding;protein binding	Pf00080	1.05	1.083	1.114	1	0.87	0.83	0.77	0.674	0.713	16528.7	17359.1	17896	18419.3	16533.5	14379.7	13725.3	12722.3	11135.2	11792	20	20	20	20	20	20	20	20	20	20	81.54	0	368.0033878	15	1948.753757	10
FALSE	IsMasterProtein	P00480	"Ornithine carbamoyltransferase, mitochondrial OS=Homo sapiens GN=OTC PE=1 SV=3"	2.259887006	1	4	1	1	354	39.91	8.63		5009	ENSG00000036473	OTC	X	cell organization and biogenesis;metabolic process;response to stimulus	cytoplasm;membrane;mitochondrion;organelle lumen	catalytic activity	"Pf00185, Pf02729"	0.96	1.186	1.214	1.086	0.778	0.759	0.175	0.077	0.016	60.7	58.3	72	73.7	65.9	47.2	46.1	10.6	4.7	1	1	1	1	1	1	1	1	1	1	1	0.105	0	6.12155056	1	49.03	1
