id	description	condition	37	40	43	46	49	52	55	58	61	64	sumUniPeps	sumPSMs	countNum
P00742	Coagulation factor X OS=Homo sapiens GN=F10 PE=1 SV=2	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P01566	Interferon alpha-10 OS=Homo sapiens GN=IFNA10 PE=1 SV=1	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P04004	Vitronectin OS=Homo sapiens GN=VTN PE=1 SV=1	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P04259	Keratin, type II cytoskeletal 6B OS=Homo sapiens GN=KRT6B PE=1 SV=5	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	46	NA
P04275	von Willebrand factor OS=Homo sapiens GN=VWF PE=1 SV=4	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	NA
P06703	Protein S100-A6 OS=Homo sapiens GN=S100A6 PE=1 SV=1	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P06858	Lipoprotein lipase OS=Homo sapiens GN=LPL PE=1 SV=1	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P07197	Neurofilament medium polypeptide OS=Homo sapiens GN=NEFM PE=1 SV=3	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	14	NA
P08173	Muscarinic acetylcholine receptor M4 OS=Homo sapiens GN=CHRM4 PE=1 SV=2	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P0DKL9	ARL14 effector protein-like OS=Homo sapiens GN=ARL14EPL PE=4 SV=1	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P10645	Chromogranin-A OS=Homo sapiens GN=CHGA PE=1 SV=7	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P13591-5	Isoform 5 of Neural cell adhesion molecule 1 OS=Homo sapiens GN=NCAM1	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P13688-9	Isoform 9 of Carcinoembryonic antigen-related cell adhesion molecule 1 OS=Homo sapiens GN=CEACAM1	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P15621	Zinc finger protein 44 OS=Homo sapiens GN=ZNF44 PE=2 SV=3	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P16144	Integrin beta-4 OS=Homo sapiens GN=ITGB4 PE=1 SV=5	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P17066	Heat shock 70 kDa protein 6 OS=Homo sapiens GN=HSPA6 PE=1 SV=2	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	201	NA
P18074	TFIIH basal transcription factor complex helicase XPD subunit OS=Homo sapiens GN=ERCC2 PE=1 SV=1	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	NA
P18089	Alpha-2B adrenergic receptor OS=Homo sapiens GN=ADRA2B PE=2 SV=2	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P20645	Cation-dependent mannose-6-phosphate receptor OS=Homo sapiens GN=M6PR PE=1 SV=1	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P20930	Filaggrin OS=Homo sapiens GN=FLG PE=1 SV=3	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA
P21127-4	Isoform 3 of Cyclin-dependent kinase 11B OS=Homo sapiens GN=CDK11B	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	17	NA
P21675-4	Isoform 4 of Transcription initiation factor TFIID subunit 1 OS=Homo sapiens GN=TAF1	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	NA
P22694-2	Isoform 2 of cAMP-dependent protein kinase catalytic subunit beta OS=Homo sapiens GN=PRKACB	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	22	NA
P24278	Zinc finger and BTB domain-containing protein 25 OS=Homo sapiens GN=ZBTB25 PE=1 SV=2	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P24593	Insulin-like growth factor-binding protein 5 OS=Homo sapiens GN=IGFBP5 PE=1 SV=1	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P26447	Protein S100-A4 OS=Homo sapiens GN=S100A4 PE=1 SV=1	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	NA
P29508	Serpin B3 OS=Homo sapiens GN=SERPINB3 PE=1 SV=2	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P30419-2	Isoform Short of Glycylpeptide N-tetradecanoyltransferase 1 OS=Homo sapiens GN=NMT1	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	60	NA
P32942	Intercellular adhesion molecule 3 OS=Homo sapiens GN=ICAM3 PE=1 SV=2	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P33552	Cyclin-dependent kinases regulatory subunit 2 OS=Homo sapiens GN=CKS2 PE=1 SV=1	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	10	NA
P35226	Polycomb complex protein BMI-1 OS=Homo sapiens GN=BMI1 PE=1 SV=2	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	NA
P35555	Fibrillin-1 OS=Homo sapiens GN=FBN1 PE=1 SV=3	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P35556	Fibrillin-2 OS=Homo sapiens GN=FBN2 PE=1 SV=3	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P35754	Glutaredoxin-1 OS=Homo sapiens GN=GLRX PE=1 SV=2	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
P42167-2	Isoform Gamma of Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens GN=TMPO	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	53	NA
P42677	40S ribosomal protein S27 OS=Homo sapiens GN=RPS27 PE=1 SV=3	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	10	NA
P42772-2	Isoform 2 of Cyclin-dependent kinase 4 inhibitor B OS=Homo sapiens GN=CDKN2B	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	NA
P43364-2	Isoform 2 of Melanoma-associated antigen 11 OS=Homo sapiens GN=MAGEA11	Ctrl.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
